Class,Baseline_Accuracy,Baseline_F1,Baseline_Precision,Baseline_Recall,Baseline_Support,Ensemble_Accuracy,Ensemble_F1,Ensemble_Precision,Ensemble_Recall,Ensemble_Support
BENIGN,0.99939242378881,0.9995244427614024,0.9996564966178129,0.99939242378881,454264,0.9962114541323988,0.998051503385885,0.9998983625320103,0.9962114541323988,454264
Bot,0.7346938775510204,0.8311688311688312,0.9568106312292359,0.7346938775510204,392,1.0,0.5373543522960932,0.3673851921274602,1.0,392
DDoS,0.9996094512790471,0.9997461086264476,0.9998828033440113,0.9996094512790471,25605,0.9988283538371412,0.998574858950081,0.998321492700445,0.9988283538371412,25605
DoS GoldenEye,0.996600291403594,0.9956331877729258,0.9946679592825982,0.996600291403594,2059,0.9990286546867412,0.9748815165876777,0.951874132346136,0.9990286546867412,2059
DoS Hulk,0.9997827267789245,0.9991206262009966,0.9984594019875884,0.9997827267789245,46025,0.9990005431830526,0.9945060887245042,0.9900518938007364,0.9990005431830526,46025
DoS Slowhttptest,0.9881818181818182,0.9913360693114455,0.9945105215004575,0.9881818181818182,1100,0.9954545454545455,0.9343003412969283,0.8802250803858521,0.9954545454545455,1100
DoS slowloris,0.993103448275862,0.9956784788245462,0.9982668977469671,0.993103448275862,1160,0.993103448275862,0.9922480620155039,0.9913941480206541,0.993103448275862,1160
FTP-Patator,0.9993698802772527,0.9996848408446265,1.0,0.9993698802772527,1587,0.9993698802772527,0.9832610043397396,0.9676632092739476,0.9993698802772527,1587
Heartbleed,0.6666666666666666,0.8,1.0,0.6666666666666666,3,1.0,0.75,0.6,1.0,3
Infiltration,0.5,0.6666666666666666,1.0,0.5,8,0.75,0.8571428571428571,1.0,0.75,8
PortScan,0.9996536632977551,0.9968602825745683,0.9940824697078806,0.9996536632977551,31761,0.9979534649412802,0.9953210865127964,0.9927025588023427,0.9979534649412802,31761
SSH-Patator,1.0,1.0,1.0,1.0,1180,1.0,0.9886887306242145,0.9776304888152444,1.0,1180
Web Attack � Brute Force,0.9801324503311258,0.8222222222222222,0.7081339712918661,0.9801324503311258,302,0.9503311258278145,0.8130311614730878,0.7103960396039604,0.9503311258278145,302
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,5,0.2,0.25,0.3333333333333333,0.2,5
Web Attack � XSS,0.04580152671755725,0.08333333333333333,0.46153846153846156,0.04580152671755725,131,0.1450381679389313,0.15966386554621848,0.17757009345794392,0.1450381679389313,131
