round,gamma,seconds,macro_f1,tail_f1,f1_benign,f1_bot,f1_brute_force,f1_ddos,f1_dos,f1_infiltration,f1_web_attacks
1,0.8131102895752239,9.617701530456543,0.6793785019244574,0.40227237445423963,0.986941902440248,0.9909424902695427,0.9151522866872474,0.9621863841291421,0.6845518168518445,0.21587463309317614,0.0
2,0.2994678110290152,9.508570909500122,0.72840755236993,0.49622002553150657,0.9935411197106122,0.990318085428658,0.915443634395594,0.984038524797087,0.7171695110916976,0.3395100823339531,0.15883190883190884
3,0.43486440529563825,9.493437767028809,0.7303581810855927,0.4978664149165413,0.9941924387055016,0.9907022414023008,0.9154509204651274,0.9911030035667712,0.7181616601121245,0.3440650945154144,0.15883190883190884
4,0.46152920749842036,9.503956079483032,0.735458924211551,0.5034892242908223,0.9935042917792918,0.9921007996123092,0.9157679767833471,0.9813691914995997,0.7471033365461518,0.35953496442824917,0.15883190883190884
5,0.5202135214346238,9.49968671798706,0.7389330795309814,0.5161356839997716,0.9933157721903711,0.9910646088190007,0.9157570401509542,0.9811877092030539,0.733863983173176,0.363180422845778,0.19416202033453592
6,0.0069584767719490966,9.514742851257324,0.7389180477829791,0.5160936614743906,0.9933140587012909,0.991040578058509,0.9157570401509542,0.9811875676976772,0.733886683507759,0.3630783860301269,0.19416202033453592
7,0.006428995473385901,9.511184453964233,0.7389037427186302,0.5160767454214118,0.9933123547152989,0.9910525932930822,0.9157716223855286,0.981181678510782,0.7338303071545671,0.363015622636617,0.19416202033453592
8,0.0643703786816219,9.596896886825562,0.7344709986720914,0.5059349419778109,0.9926752395557832,0.9910633086371848,0.9157570401509542,0.9811749395378927,0.7338849455265765,0.3325794969617117,0.19416202033453592
9,-0.05200266792468945,9.504760026931763,0.7380236712415972,0.5140038251461098,0.9931953929251479,0.9911367080933616,0.9157497492078152,0.9812065846531097,0.7340024964667774,0.3567127470104317,0.19416202033453592
10,-0.004918905632405778,9.63114047050476,0.7387524237756471,0.5156727505477274,0.9932917295845416,0.9911367080933616,0.9157497492078152,0.9812047395272132,0.7340024964667774,0.36171952321528467,0.19416202033453592
11,-0.003307276365722576,13.145508289337158,0.7389839211529079,0.5162028368205472,0.9933237975258645,0.9911246908191473,0.9157497492078152,0.981202894408256,0.7340024964667774,0.3633217993079585,0.19416202033453592
12,0.007577282739076396,9.53907561302185,0.737642339911705,0.5131332359848433,0.993139686225599,0.9911367080933616,0.9157497492078152,0.9812047395272132,0.7340024964667774,0.3541009795266322,0.19416202033453592
13,-0.0008633090976632416,9.610344171524048,0.7377834673718768,0.5134559946698183,0.9931593023918769,0.9911367080933616,0.9157497492078152,0.9812047395272132,0.7340024964667774,0.35506925558155716,0.19416202033453592
14,0.0050585357102591955,9.637060642242432,0.737101339241291,0.5118960859587747,0.993062357166177,0.9911367080933616,0.9157497492078152,0.9812065139719433,0.7340024964667774,0.3503895294484263,0.19416202033453592
15,0.0010906538505812244,14.189008474349976,0.7370193531428496,0.5117081804337186,0.9930503259126122,0.9911367080933616,0.9157497492078152,0.9812083591115859,0.7340024964667774,0.34982581287325815,0.19416202033453592
16,-0.009097529836654811,15.25883936882019,0.7388088404828682,0.5157894789186152,0.9932990321645603,0.9911367080933616,0.9157132962334902,0.981202894408256,0.7340782238179249,0.36206970832794794,0.19416202033453592
17,0.0376941465250625,15.282547235488892,0.7348095057808283,0.5065431817619738,0.9927263168615286,0.9911122427946115,0.9156622669447673,0.9812174436316453,0.7344309677419355,0.33435528215677357,0.19416202033453592
18,0.006493430408876432,15.575441837310791,0.7345015088948026,0.5058333523772439,0.9926771706074581,0.9911242603550295,0.9156622669447673,0.9812228379936174,0.7344482295860432,0.33221377644216604,0.19416202033453592
19,-0.02025846456801022,15.482168674468994,0.7357984024570683,0.5087841267554791,0.992873293096097,0.9911367080933616,0.9156622669447673,0.9812176555542184,0.7344832213379576,0.3410536518385397,0.19416202033453592
20,0.007791360426663973,15.57251763343811,0.7349605000039848,0.5068883079297374,0.9927496724600917,0.9911122427946115,0.9156622669447673,0.981215669091887,0.7344309677419355,0.3353906606600647,0.19416202033453592
21,0.013282317810579498,15.495664834976196,0.7342653146710025,0.5052940293147534,0.9926360152144825,0.9910873440285205,0.9156622669447673,0.9812231204785519,0.7344537121149558,0.33063272358120377,0.19416202033453592
22,-0.008036933248211715,15.373289108276367,0.7347132141547943,0.5063134034592827,0.9927134259529259,0.991063091903428,0.9156622669447673,0.9812195007286917,0.7344570950793274,0.33371509813988387,0.19416202033453592
23,0.004680584258986058,15.55193042755127,0.7343862714331323,0.5055657514058782,0.9926565112774041,0.9910751097421968,0.9156622669447673,0.9812231910984575,0.734464676493662,0.33146012414090187,0.19416202033453592
24,-0.01405699439210766,15.448674201965332,0.7356487529642289,0.5084409214165778,0.9928516723070392,0.9910633086371848,0.9156622669447673,0.9812213459101047,0.7344832213379576,0.3400974352780126,0.19416202033453592
