metric,value
baseline_macro_f1,0.8258527814183195
moe_macro_f1,0.6395720761539497
baseline_weighted_f1,0.9972732417709446
moe_weighted_f1,0.9888554591260753
test_binary_attack_rate,0.19847245956276718
test_benign_by_binary_rate,0.8015275404372328
test_all_reject_rate,0.0049339344062402255
test_multi_accept_rate,0.14092461789399463
select_mode,meta_router
threshold_mode,fixed_quantile
threshold_quantile,0.05
external_ood_data,
sc_ood_data,
threshold_DoS_DDoS,4.624715805053711
threshold_Scan_Brute,4.383603572845459
threshold_WebBot_Rare,1.990846037864685
