class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.999964688174511,0.9936979301337985,0.9968165407876587,0.997678956828597,0.9983881327790772,0.9956844641808331,-0.0027036685982441133
dos-hulk,46025,0.9892873276399854,0.9945903639418983,0.9992178164041282,0.9387506789788158,0.9942277758561051,0.9658641271544497,-0.02836364870165542
portscan,31786,0.9933104095029697,0.9859021667139748,0.9996853960863273,0.9834518341408167,0.9964877069744105,0.9846754760367284,-0.011812230937682022
ddos,25606,0.998050910224925,0.9998042823032058,0.9998828399593845,0.9975005858002031,0.9989660352328371,0.9986511055070084,-0.0003149297258286943
dos-goldeneye,2059,0.9702689948088721,0.9989327641408752,0.9985429820301117,0.9091792132102963,0.9842029679272379,0.9519450800915332,-0.03225788783570471
ftp-patator,1588,0.9949843260188088,1.0,0.9993702770780857,0.9943324937027708,0.9971724787935909,0.997158193874329,-1.4284919261919882e-05
ssh-patator,1179,0.9808333333333333,1.0,0.998303647158609,0.0033927056827820186,0.9894913829340058,0.006762468300929839,-0.982728914633076
dos-slowloris,1159,0.9641068447412354,1.0,0.996548748921484,0.5340811044003452,0.9800593975392448,0.6962879640044994,-0.2837714335347453
dos-slowhttptest,1100,0.983739837398374,0.98625,0.99,0.7172727272727273,0.9868599909379248,0.8305263157894737,-0.1563336751484511
bot,393,0.46445497630331756,0.9307692307692308,0.9974554707379135,0.6157760814249363,0.6337914308811641,0.7411944869831547,0.10740305610199063
web-attack-�-brute-force,302,0.7907949790794979,0.21236559139784947,0.6258278145695364,0.5231788079470199,0.6987060998151571,0.30210325047801145,-0.3966028493371456
web-attack-�-xss,130,0.2747603833865815,0.05943331029716655,0.6615384615384615,0.6615384615384615,0.38826185101580135,0.10906785034876347,-0.27919400066703787
infiltration,7,0.7,0.005115089514066497,1.0,0.2857142857142857,0.8235294117647058,0.010050251256281407,-0.8134791605084244
web-attack-�-sql-injection,4,0.07692307692307693,0.0018115942028985507,0.25,0.5,0.11764705882352941,0.0036101083032490976,-0.11403695052028032
heartbleed,2,0.6666666666666666,1.0,1.0,1.0,0.8,1.0,0.19999999999999996
macro avg,565877,0.7898764502801436,0.744578154894331,0.9008793330181134,0.7107898624428037,0.8258527814183195,0.6395720761539497,-0.1862807052643698
weighted avg,565877,0.9977074539098816,0.992962686155262,0.9970346912845017,0.9875732712232517,0.9972732417709446,0.9888554591260753,-0.008417782644869254
