expert,owned_classes,threshold,owned_support,owned_accept_rate,owned_selected_rate,local_acc_given_owned_selected,owned_all_reject_rate,benign_accept_rate,non_owned_attack_accept_rate,mean_owned_margin,mean_benign_margin,mean_owned_stability
DoS_DDoS,"ddos,dos-goldeneye,dos-hulk,dos-slowhttptest,dos-slowloris",4.624715805053711,75949,0.948425917391934,0.9483864172010165,0.9999861167029946,0.02010559717705302,0.0005368099846657148,0.00022604616993020823,0.7866196632385254,-0.027055583894252777,0.5537387728691101
Scan_Brute,"ftp-patator,portscan,ssh-patator",4.383603572845459,34553,0.950510809481087,0.950510809481087,1.0,0.03519231325789367,0.0008074150179193332,0.002435308059958066,-0.05563418194651604,-0.02452189289033413,0.8675858378410339
WebBot_Rare,"bot,heartbleed,infiltration,web-attack-�-brute-force,web-attack-�-sql-injection,web-attack-�-xss",1.990846037864685,838,0.8400954653937948,0.7410501193317423,0.7922705314009661,0.15871121718377088,0.002208841084444171,0.7409458652332085,0.9621028304100037,0.0024840072728693485,0.822123110294342
