true_class,support,benign_gate_rate,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9975887551508458,9.020167775120618e-05,0.0005368099846657148,0.0005368099846657148,-0.027055583894252777,0.0011141370050609112,0.0008074150179193332,0.0007876146496324832,-0.02452189289033413,0.0021402148995548487,0.002208841084444171,0.0009966185371047902,0.0024840072728693485,0.0017422535456717014
bot,393,0.17048346055979643,0.0,0.0,0.0,-13.360600471496582,0.4413326382637024,0.4580152671755725,0.21374045801526717,-5.452570915222168,0.7882620692253113,0.8269720101781171,0.6157760814249363,1.7952282428741455,0.8249934315681458
ddos,25606,0.0007810669374365383,0.0,0.9976177458408185,0.9975005858002031,1.0730986595153809,0.3415148854255676,0.0,0.0,-11.483710289001465,0.9226421117782593,0.9868390221041943,0.0017183472623603843,1.2375603914260864,0.6026910543441772
dos-goldeneye,2059,0.00048567265662943174,0.06702282661486159,0.9096648858669257,0.9096648858669257,0.5416322946548462,0.9348466992378235,0.0,0.0,-10.769181251525879,0.9444587826728821,0.14035939776590578,0.022826614861583293,-0.08380109816789627,0.7581440210342407
dos-hulk,46025,2.1727322107550245e-05,0.022313959804454102,0.9387506789788158,0.9387506789788158,0.711266815662384,0.6565632820129395,0.00010863661053775122,0.00010863661053775122,-12.318022727966309,0.9406364560127258,0.6808473655621945,0.038804997284084736,0.6020538210868835,0.7778560519218445
dos-slowhttptest,1100,0.005454545454545455,0.17727272727272728,0.7172727272727273,0.7172727272727273,-0.04197795316576958,0.511472761631012,0.0,0.0,-9.6924467086792,0.9362091422080994,0.6627272727272727,0.1,-0.060338813811540604,0.9459704756736755
dos-slowloris,1159,0.003451251078515962,0.11647972389991372,0.5340811044003452,0.5340811044003452,-1.3286356925964355,0.5222424268722534,0.0,0.0,-10.288761138916016,0.9320120811462402,0.5556514236410699,0.3459879206212252,0.1542128473520279,0.8734254837036133
ftp-patator,1588,0.0012594458438287153,0.003778337531486146,0.0,0.0,-13.805346488952637,0.4951072037220001,0.9943324937027708,0.9943324937027708,-0.0013782563619315624,0.25642359256744385,0.1624685138539043,0.0006297229219143577,-0.4294843375682831,0.8980908393859863
heartbleed,2,0.0,0.0,0.0,0.0,-11.589882850646973,0.7310810089111328,0.0,0.0,-8.119674682617188,0.9459224939346313,1.0,1.0,2.0330939292907715,0.456000953912735
infiltration,7,0.7142857142857143,0.0,0.0,0.0,-2.322124719619751,0.194464311003685,0.2857142857142857,0.0,0.45887455344200134,0.2855614125728607,0.2857142857142857,0.2857142857142857,0.5981724858283997,0.2854406237602234
portscan,31786,9.438117410180582e-05,0.0021078462216069967,0.00018876234820361165,0.00018876234820361165,-17.305707931518555,0.3591230809688568,0.9834518341408167,0.9834518341408167,-0.05689243972301483,0.8982713222503662,0.7335304851192349,0.014157176115270873,1.1244064569473267,0.881829023361206
ssh-patator,1179,0.0008481764206955047,0.9643765903307888,0.0016963528413910093,0.0016963528413910093,-15.888910293579102,0.5655133724212646,0.0033927056827820186,0.0033927056827820186,-0.09478896111249924,0.86347895860672,0.029686174724342665,0.029686174724342665,-0.4746742844581604,0.9596148133277893
web-attack-�-brute-force,302,0.03642384105960265,0.09602649006622517,0.0,0.0,-8.16930866241455,0.3902610242366791,0.0,0.0,-6.255344867706299,0.8997601866722107,0.8675496688741722,0.8675496688741722,0.23067376017570496,0.8535856604576111
web-attack-�-sql-injection,4,0.0,0.25,0.0,0.0,-12.326827049255371,0.8396170139312744,0.0,0.0,-14.052160263061523,0.9367072582244873,0.75,0.75,0.937816321849823,0.537302553653717
web-attack-�-xss,130,0.03076923076923077,0.12307692307692308,0.0,0.0,-8.308856964111328,0.3418850600719452,0.0,0.0,-5.9692158699035645,0.9064125418663025,0.8461538461538461,0.8461538461538461,0.14653299748897552,0.7836510539054871
