K,beta,tune_expert_balanced_nll
2,0.0,4.316968
2,0.5,6.129959
2,1.0,10.46595
4,0.0,2.449635
4,0.5,4.027684
4,1.0,7.890517
8,0.0,3.253551
8,0.5,4.987568
8,1.0,9.373555
