class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3493789,0,591,8546,2
bot,41542,41415,1,0,126,0
brute_force,115040,77344,0,0,37696,0
ddos,264872,221106,29848,89,13829,13
dos,60594,20130,3117,0,37347,5532
infiltration,37631,11850,1,0,25780,44
web_attacks,509,227,45,0,237,3
