cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,21146,0.15430386481098432,16.13383030720255,0,0,0,0,21146,0,0
1,1936355,0.0888354851879629,0.10143560087238883,1740921,20642,39579,131674,369,3170,0
2,9,0.00018361120202053293,75.16157208214045,0,9,0,0,0,0,0
