run,item,value,note
20260827_023651_nfv3_cic2018_exp23c_anchor,expert1_solo_recovery,0.885278,share of full-bank oracle utility recovered alone
20260827_023651_nfv3_cic2018_exp23c_anchor,expert2_solo_recovery,0.392091,share of full-bank oracle utility recovered alone
20260827_023651_nfv3_cic2018_exp23c_anchor,expert3_solo_recovery,0.808404,share of full-bank oracle utility recovered alone
20260827_023651_nfv3_cic2018_exp23c_anchor,expert1_shared_variance_share,0.502071,fraction of gain variance that is the shared global term
20260827_023651_nfv3_cic2018_exp23c_anchor,expert2_shared_variance_share,1.49976,fraction of gain variance that is the shared global term
20260827_023651_nfv3_cic2018_exp23c_anchor,expert3_shared_variance_share,0.515582,fraction of gain variance that is the shared global term
20260827_023651_nfv3_cic2018_exp23c_anchor,utility_share_benign,8.9e-05,n=100000
20260827_023651_nfv3_cic2018_exp23c_anchor,posJaccard_e1e2_benign,0.002852,"positive-gain set overlap, within class"
20260827_023651_nfv3_cic2018_exp23c_anchor,utility_share_bot,0.003069,n=31156
20260827_023651_nfv3_cic2018_exp23c_anchor,posJaccard_e1e2_bot,0.0,"positive-gain set overlap, within class"
20260827_023651_nfv3_cic2018_exp23c_anchor,utility_share_brute_force,0.370065,n=86279
20260827_023651_nfv3_cic2018_exp23c_anchor,posJaccard_e1e2_brute_force,0.99956,"positive-gain set overlap, within class"
20260827_023651_nfv3_cic2018_exp23c_anchor,utility_share_ddos,0.000918,n=100000
20260827_023651_nfv3_cic2018_exp23c_anchor,posJaccard_e1e2_ddos,0.0,"positive-gain set overlap, within class"
20260827_023651_nfv3_cic2018_exp23c_anchor,utility_share_dos,0.366875,n=45446
20260827_023651_nfv3_cic2018_exp23c_anchor,posJaccard_e1e2_dos,0.997617,"positive-gain set overlap, within class"
20260827_023651_nfv3_cic2018_exp23c_anchor,utility_share_infiltration,0.152135,n=28224
20260827_023651_nfv3_cic2018_exp23c_anchor,posJaccard_e1e2_infiltration,0.151304,"positive-gain set overlap, within class"
20260827_023651_nfv3_cic2018_exp23c_anchor,utility_share_web_attacks,0.10685,n=381
20260827_023651_nfv3_cic2018_exp23c_anchor,posJaccard_e1e2_web_attacks,0.356383,"positive-gain set overlap, within class"
