class,rows,proposed,accepted
benign,3502926,73442,1071
bot,41542,150,1
brute_force,115040,78616,1266
ddos,264872,53315,30288
dos,60594,39216,10214
infiltration,37631,1154,65
web_attacks,509,491,51
