run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_023651_nfv3_cic2018_exp23c_anchor,ALL,4023114,246384,0.061242,42956,0.174346,203428,0.825654,1.061242
20260827_023651_nfv3_cic2018_exp23c_anchor,benign,3502926,73442,0.020966,1071,0.014583,72371,0.985417,1.020966
20260827_023651_nfv3_cic2018_exp23c_anchor,bot,41542,150,0.003611,1,0.006667,149,0.993333,1.003611
20260827_023651_nfv3_cic2018_exp23c_anchor,brute_force,115040,78616,0.68338,1266,0.016104,77350,0.983896,1.68338
20260827_023651_nfv3_cic2018_exp23c_anchor,ddos,264872,53315,0.201286,30288,0.568095,23027,0.431905,1.201286
20260827_023651_nfv3_cic2018_exp23c_anchor,dos,60594,39216,0.647193,10214,0.260455,29002,0.739545,1.647193
20260827_023651_nfv3_cic2018_exp23c_anchor,infiltration,37631,1154,0.030666,65,0.056326,1089,0.943674,1.030666
20260827_023651_nfv3_cic2018_exp23c_anchor,web_attacks,509,491,0.964637,51,0.10387,440,0.89613,1.964637
20260827_023651_nfv3_cic2018_exp23c_anchor,expert1,160396,160396,,7172,0.044714,153224,0.955286,
20260827_023651_nfv3_cic2018_exp23c_anchor,expert2,2859,2859,,876,0.306401,1983,0.693599,
20260827_023651_nfv3_cic2018_exp23c_anchor,expert3,83129,83129,,34908,0.419926,48221,0.580074,
20260827_023651_nfv3_cic2018_exp23c_anchor,MEASURED_COMPUTE,,,,,,,,2.028
