regime,rows,weighted_mass,mean_residual,kept,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,8696,0.1133,30.77,False,71,0,0,0,8607,18,0
2,17610,0.3592,45.1,False,0,0,17610,0,0,0,0
3,15519,0.2796,41.51,False,0,0,0,0,0,15519,0
4,21146,0.1543,16.13,True,0,0,0,0,21146,0,0
5,140,0.0029,2344.06,False,0,0,0,0,0,0,140
6,1936355,0.0888,0.1,True,1740921,20642,39579,131674,369,3170,0
7,9,0.0002,75.16,True,0,9,0,0,0,0,0
8,525,0.0017,7.83,False,413,0,0,0,0,0,112
