class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,126905,88390,-38515,3494380,3493789
bot,5,5,0,41415,41416
brute_force,21110,21110,0,77344,77344
ddos,12,84,72,221195,250954
dos,2,63,61,20130,23247
infiltration,6461,7450,989,11850,11851
web_attacks,2078,7139,5061,227,272
