expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.8977,2072,18610,0.7552,0.0941
2,202122,0.8439,8183,23369,0.5713,0.2394
3,202122,0.6904,3439,59130,0.716,-0.0032
