expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,1400,0,200,200,200,200,200,200,200
1,21146,1400,21146,0,0,0,0,21146,0,0
2,1936355,1400,186000,120294,8134,39579,14454,369,3170,0
3,9,1400,9,0,9,0,0,0,0,0
