role,branch,count,share_of_role,accuracy
known,all_out,12902,0.0336542599949396,0.0
known,argmin,47626,0.12423018032235261,0.9981732667030614
known,owner_only,322841,0.8421155596827078,0.8130070220325175
known,ALL,383369,1.0,0.8086491083003582
unseen,all_out,65986,0.37416362357957766,1.0
unseen,argmin,21861,0.1239594910295085,0.0
unseen,owner_only,88509,0.5018768853909138,0.0
unseen,ALL,176356,1.0,0.37416362357957766
benign,all_out,5763,0.05763,0.0
benign,argmin,4994,0.04994,0.02723267921505807
benign,owner_only,89243,0.89243,0.9587306567461874
benign,ALL,100000,1.0,0.85696
