true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.002851664290279758,0.9971483357097203,0.0,0.0,0.9971483357097203
ddos,target known,flood,100000,0.0132,0.98661,0.00019,0.0,0.9868
dos,target known,flood,40692,0.10599134965103706,0.8940086503489629,0.0,0.0,0.8940086503489629
mitm,target known,stealth_malware,1204,0.9983388704318937,0.0,0.0016611295681063123,0.0,0.0016611295681063123
password,target known,probe_access,100000,0.07233,0.92751,0.00015,1e-05,0.92768
ransomware,target known,stealth_malware,795,0.9660377358490566,0.0,0.033962264150943396,0.0,0.033962264150943396
scanning,target known,probe_access,100000,0.58066,0.41788,0.00146,0.0,0.41934
unseen::xss,target unseen,,100000,0.71661,,0.28339,0.0,0.28339
unseen::injection,target unseen,,76356,0.582966629996333,,0.417033370003667,0.0,0.417033370003667
benign_diagnostic,benign diagnostic,,100000,0.56733,,0.43253,0.00014,0.43281
