metric,value
energy_threshold,3.9341750144958496
energy_scale,1.794912338256836
temperature,1.0
threshold_strategy,per_class_min
class_weight,sqrt_balanced
external_ood_data,data/cic2018_ood_for_cic2017.pkl
energy_margin_weight,0.1
energy_margin_in,-8.0
energy_margin_out,-4.0
auroc_unseen_attack,0.5136951426151039
aupr_unseen_attack,0.5514972397922624
fpr95_unseen_attack,0.9398986429257091
id_retain_at_tau,0.9970378700897815
unseen_attack_detect_at_tau,0.19583773395432588
unseen_attack_in_at_tau,0.8041622660456741
friday_benign_false_ood_at_tau,0.0031164463814192154
friday_benign_retain_at_tau,0.9968835536185808
id_macro_f1,0.7080943144139497
id_weighted_f1,0.9908551548450337
id_accuracy,0.9896807769767924
source_val_support,425032
source_test_known_support,425032
friday_support,702718
friday_unseen_attack_support,288785
friday_benign_support,413933
