model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows,test_TP,test_FP,test_recall,test_fpr,test_precision
expert1,1,backdoor,0,0.001,0.04936549429992087,0.000800377748841431,1.0,4292,119259,40012,8624,0.9995503372470647,0.003864330801772466,0.8226827864133563
expert1,1,backdoor,0,0.01,0.027705559434250956,0.00972749688456349,1.0,4292,119259,40012,70906,0.9995503372470647,0.03177229126049148,0.3607349573558845
expert1,1,benign,1,0.001,0.5869186214707429,0.000999364312903687,0.6721854304635762,604,122947,988196,1404,0.6702805802339005,0.001760675979187907,0.9985812449474535
expert1,1,benign,1,0.01,0.18569399237860748,0.00999982757181262,0.9470198675496688,604,122947,1283273,10580,0.8704274972156315,0.013267771979920268,0.9918228732321214
expert1,1,ddos,2,0.001,0.7313333098800996,0.0009980146317813909,0.9941767068273092,19920,103631,98091,1263,0.9492248737153806,0.0005824611404340096,0.9872878797028806
expert1,1,ddos,2,0.01,0.39075140055994295,0.009725147644457748,0.998644578313253,19920,103631,100821,3756,0.9756430354758172,0.0017321647216707364,0.9640838807768438
expert1,1,dos,3,0.001,0.27254117459491,0.0009943649273966185,0.912268677176148,2918,120633,21567,2648,0.9603259417579482,0.0011772734648874189,0.8906462936196572
expert1,1,dos,3,0.01,0.131115885567675,0.009995781694904825,0.9763536668951337,2918,120633,22300,377138,0.9929646451153263,0.16767166163168856,0.055828438956734214
expert1,1,injection,4,0.001,0.49176840867713095,0.000998031254905024,0.9550972104818258,29575,93976,66052,9535,0.9587899725653569,0.004328518924729621,0.8738539695979467
expert1,1,injection,4,0.01,0.14433914829179714,0.009993632173033484,0.9623668639053254,29575,93976,66970,30534,0.9721153706579959,0.01386124770295692,0.6868436166721366
expert1,1,mitm,5,0.001,0.5241963287521036,0.0003706157947519253,0.8857142857142857,420,123131,1053,12094,0.9069767441860465,0.005326434600772849,0.08009431809538298
expert1,1,mitm,5,0.01,0.22914120629818027,0.009995496174503463,0.9880952380952381,420,123131,1152,83790,0.9922480620155039,0.036902757995597564,0.0135621953803772
expert1,1,password,6,0.001,0.2843392207210885,0.0009747614064152914,0.997892308915931,25146,98405,210655,55898,0.998596830543586,0.027124786245154728,0.7902931124391772
expert1,1,password,6,0.01,0.06578916485888041,0.009993745421582434,0.998528593016782,25146,98405,210779,66708,0.999184644775327,0.03237039323127449,0.7595995488076919
expert1,1,ransomware,7,0.001,0.7102017241089985,0.0007161828984835196,0.628158844765343,277,123274,645,7872,0.9097320169252469,0.00346629303033799,0.07573089115885875
expert1,1,ransomware,7,0.01,0.43467966143931835,0.009306724673333459,0.9350180505415162,277,123274,647,8379,0.9125528913963329,0.0036895413238315572,0.07168180810990472
expert1,1,scanning,8,0.001,0.5692423703492026,0.0007209229129527061,0.6655013507071349,6293,117258,3490,5064,0.5788688007961519,0.0022350767579381856,0.40799625906008885
expert1,1,scanning,8,0.01,0.27347729899885725,0.00993698822795927,0.9191164786270459,6293,117258,5189,59549,0.86067341184276,0.02628289610159183,0.08015385090673174
expert1,1,xss,9,0.001,0.34453225535719106,0.0005166171994893047,0.9520319005453586,34106,89445,317072,100784,0.9221122918447946,0.052277410965164126,0.7588068616939807
expert1,1,xss,9,0.01,0.3184775209036702,0.009833229017886316,0.9598897554682461,34106,89445,321448,102901,0.9348386233692206,0.05337551462262218,0.7575085601709913
expert2,2,backdoor,0,0.001,0.06725488010343778,0.0009980696049602812,1.0,4292,119259,40012,20008,0.9995503372470647,0.008965390849010145,0.6666444518493836
expert2,2,backdoor,0,0.01,0.020262212783850823,0.009998356887830578,1.0,4292,119259,40012,104532,0.9995503372470647,0.046839775901076,0.2768153641797653
expert2,2,benign,1,0.001,0.3607705798630272,0.0009993277622107207,0.793046357615894,604,122947,1172228,1417,0.7951071083129508,0.001776978534550758,0.9987926502477324
expert2,2,benign,1,0.01,0.12553745810304415,0.009997551345460024,0.9254966887417219,604,122947,1303790,9847,0.8843439132552218,0.012348558665999517,0.9925040174721023
expert2,2,ddos,2,0.001,0.6118292125225208,0.000900263406468862,0.9934236947791165,19920,103631,98701,507,0.9551278329365771,0.00023381456706258343,0.9948895250383034
expert2,2,ddos,2,0.01,0.5260271311360484,0.009299018071104647,0.9948293172690763,19920,103631,100541,1293,0.9729334804234647,0.0005962963219170028,0.9873028654476894
expert2,2,dos,3,0.001,0.22149752944781367,0.0009533062969363835,0.9455106237148732,2918,120633,22138,3072,0.9857511799804078,0.001365779487966069,0.8781435938119794
expert2,2,dos,3,0.01,0.14506399719546367,0.009997833239420637,0.9677861549006168,2918,120633,22280,23118,0.9920740938641018,0.010278024154557155,0.49077051852504516
expert2,2,injection,4,0.001,0.6074701248770126,0.0009983259592821485,0.9465765004226543,29575,93976,65678,7736,0.9533611066757631,0.00351184293672872,0.894625003405345
expert2,2,injection,4,0.01,0.3018754514466371,0.009886436728234098,0.9570583262890955,29575,93976,66599,23760,0.9667300518209926,0.010786115327905169,0.7370488827897609
expert2,2,mitm,5,0.001,0.5533269801923536,0.0009961793698386873,0.9357142857142857,420,123131,1084,9447,0.9336778639104221,0.004160643928683735,0.10293419428354382
expert2,2,mitm,5,0.01,0.34802321633371947,0.009638122276742227,0.9857142857142858,420,123131,1152,77177,0.9922480620155039,0.033990263203559294,0.0147071965683208
expert2,2,password,6,0.001,0.21359218986756803,0.0009971073734401385,0.9969776505209577,25146,98405,210545,51276,0.9980753824347834,0.02488193744868428,0.8041562747067653
expert2,2,password,6,0.01,0.09958089990222145,0.00975325325755411,0.9977730056470214,25146,98405,210617,59493,0.9984166939241814,0.02886927811519178,0.7797452889563511
expert2,2,ransomware,7,0.001,0.4238214672266963,0.0007161828984835196,0.9350180505415162,277,123274,649,8055,0.9153737658674189,0.0035468737753267922,0.07456341911764706
expert2,2,ransomware,7,0.01,0.2775826453369365,0.009312204183761899,0.9638989169675091,277,123274,671,15307,0.9464033850493653,0.0067401610029704795,0.041995243459757164
expert2,2,scanning,8,0.001,0.7927379453269197,0.0007525741573531776,0.646750357540124,6293,117258,3734,99,0.6193398573561121,4.369522097864937e-05,0.9741716671014871
expert2,2,scanning,8,0.01,0.3651058316865291,0.00973409020530294,0.9604322262831718,6293,117258,5812,47622,0.9640072980593797,0.021018725388335758,0.10876969719654153
expert2,2,xss,9,0.001,0.2838845987242588,0.0008547500575273544,0.9725561484782737,34106,89445,327029,111697,0.9510693492005328,0.05793806529385555,0.7454060165114444
expert2,2,xss,9,0.01,0.21195873237505167,0.009872386442097467,0.9903829238257198,34106,89445,339494,220322,0.9873201998522628,0.11428266132190518,0.6064385440930592
expert3,3,backdoor,0,0.001,0.06116056758447061,0.000999071589166396,1.0,4292,119259,40012,4130,0.9995503372470647,0.0018506129651345413,0.9064383127180463
expert3,3,backdoor,0,0.01,0.02201109232610637,0.009999852164674456,1.0,4292,119259,40016,63430,0.9996502623032726,0.028422368130383523,0.3868298435898923
expert3,3,benign,1,0.001,0.5595204888895596,0.0009996848969530782,0.6970198675496688,604,122947,1020187,1395,0.6919796622401652,0.0017493895947059332,0.9986344708501128
expert3,3,benign,1,0.01,0.14189809478626134,0.009989453397914799,0.9536423841059603,604,122947,1276566,9267,0.8658782257637851,0.011621213888272319,0.9927929987797793
expert3,3,ddos,2,0.001,0.7072387675923842,0.000846517542294669,0.986144578313253,19920,103631,97583,224,0.9443089666918268,0.00010330268840634851,0.9977097753739508
expert3,3,ddos,2,0.01,0.549642380569708,0.009249379381768659,0.9960843373493976,19920,103631,99354,971,0.9614469023979563,0.0004477987073328768,0.9903214552703713
expert3,3,dos,3,0.001,0.5297289308060319,0.0007590546376191654,0.9448252227553119,2918,120633,22133,405,0.9855285421676018,0.00018005881921427666,0.9820303487443429
expert3,3,dos,3,0.01,0.30013839654678665,0.009416955730722161,0.9962302947224126,2918,120633,22418,55984,0.998218897497551,0.024889908481214976,0.2859365832504273
expert3,3,injection,4,0.001,0.5052546330370438,0.0009947202301937583,0.9476923076923077,29575,93976,65547,6742,0.9514595520459856,0.003060605620401374,0.9067354645935066
expert3,3,injection,4,0.01,0.3242723286984335,0.009995990341406271,0.9544547759932376,29575,93976,66328,26983,0.9627963014036667,0.012249231897847861,0.7108272336594829
expert3,3,mitm,5,0.001,0.47977256741394314,0.0009289386905653768,0.9404761904761905,420,123131,1094,8532,0.94229112833764,0.0037576599978331356,0.11365052981508415
expert3,3,mitm,5,0.01,0.2547562870065023,0.009590854879565434,0.9904761904761905,420,123131,1153,75391,0.9931093884582257,0.033203673804106645,0.01506323160535117
expert3,3,password,6,0.001,0.20230209039927824,0.0009943890970422501,0.997057186033564,25146,98405,210494,51544,0.9978336201297932,0.0250119857994965,0.8032957052030621
expert3,3,password,6,0.01,0.12021023112937211,0.009996436121540246,0.9976139346218086,25146,98405,210598,56312,0.9983266256144792,0.02732568183185719,0.7890225169532802
expert3,3,ransomware,7,0.001,0.62616741891023,0.0007161828984835196,0.9314079422382672,277,123274,647,7928,0.9125528913963329,0.0034909516189684433,0.07545189504373177
expert3,3,ransomware,7,0.01,0.4115149051247429,0.009307942342317556,0.9530685920577617,277,123274,680,8753,0.9590973201692524,0.003854225469327798,0.07208735290999682
expert3,3,scanning,8,0.001,0.6905516501941603,0.0007260816208780546,0.39679008422056256,6293,117258,1487,73,0.2466412340354951,3.221970839839802e-05,0.9532051282051283
expert3,3,scanning,8,0.01,0.25422784574667423,0.009904226360294859,0.9442237406642301,6293,117258,5294,58012,0.878089235362415,0.025604516761751586,0.08362556471740436
expert3,3,xss,9,0.001,0.3026083293112472,0.0006919970087344863,0.9450243358939776,34106,89445,315003,104633,0.9160952031967056,0.0542739159144112,0.7506577128749679
expert3,3,xss,9,0.01,0.269103499238444,0.009922710353082873,0.9576027678414355,34106,89445,321764,110471,0.9357576180588273,0.05730212996837441,0.7444191238562357
expert4,4,backdoor,0,0.001,0.09941045059508882,0.0009989021826247537,1.0,4292,119259,40024,35866,0.9998501124156882,0.01607120692675919,0.5273949136908683
expert4,4,backdoor,0,0.01,0.05324665906346656,0.009994891375756133,1.0,4292,119259,40026,101730,0.9999000749437922,0.04558422686274501,0.2823584186912723
expert4,4,benign,1,0.001,0.5466687383905037,0.0009985068885407468,0.7301324503311258,604,122947,930692,1415,0.631276359931683,0.0017744704491103195,0.9984819339410604
expert4,4,benign,1,0.01,0.11370901059452589,0.009993653572547615,0.9652317880794702,604,122947,1299685,10843,0.8815595447879743,0.013597585215337946,0.9917262355325487
expert4,4,ddos,2,0.001,0.6146200594216451,0.0008613566972649306,0.9926706827309237,19920,103631,98065,526,0.948973272174805,0.00024257684866847907,0.9946648274183242
expert4,4,ddos,2,0.01,0.4650888182951303,0.00913890205363452,0.9954317269076305,19920,103631,100630,933,0.9737947318508197,0.00043027414412108553,0.9908135836869726
expert4,4,dos,3,0.001,0.20252926732937976,0.000995585749784972,0.9458533241946538,2918,120633,22146,40937,0.9861074004808976,0.018200167610308255,0.3510613001918108
expert4,4,dos,3,0.01,0.1480326765868094,0.009994743133478545,0.9664153529814942,2918,120633,22282,64286,0.9921631489892243,0.02858089198026911,0.2573930320672766
expert4,4,injection,4,0.001,0.6986913935044606,0.0009958827792393517,0.9320033812341505,29575,93976,64347,8011,0.9340407310098562,0.0036366822345054004,0.8892866027253379
expert4,4,injection,4,0.01,0.44378074163516595,0.009996430289244261,0.9957734573119188,29575,93976,68522,66729,0.9946437125313902,0.030292369095782156,0.5066284167954396
expert4,4,mitm,5,0.001,0.4499907969713917,0.0008704386887463459,0.930952380952381,420,123131,1083,8938,0.9328165374677002,0.003936470354035697,0.10807304660213551
expert4,4,mitm,5,0.01,0.2596012052861142,0.009286382758052927,0.9833333333333333,420,123131,1151,76009,0.9913867355727821,0.03347585311477951,0.014917055469155003
expert4,4,password,6,0.001,0.22691023453828887,0.0005144429735380533,0.9959039211007715,25146,98405,210325,50974,0.9970324862171784,0.02473539042650036,0.8049207995438176
expert4,4,password,6,0.01,0.18596190766317477,0.00986319205413672,0.9966595084705321,25146,98405,210442,52216,0.9975871173874502,0.025338077186607737,0.8012015624881024
expert4,4,ransomware,7,0.001,0.5088554012962531,0.0007161828984835196,0.9314079422382672,277,123274,648,8146,0.9139633286318759,0.0035869439818512787,0.07368660450307027
expert4,4,ransomware,7,0.01,0.4017243151149671,0.00930611583884141,0.9530685920577617,277,123274,677,8741,0.9548660084626234,0.003848941486049844,0.07188362709704821
expert4,4,scanning,8,0.001,0.6494256561594173,0.0007179940605658418,0.5850945494994438,6293,117258,2265,3209,0.3756841930668436,0.0014163430719240993,0.41377420533430764
expert4,4,scanning,8,0.01,0.22864378607314245,0.009617921058144659,0.9624980136659781,6293,117258,5693,54812,0.944269364737104,0.02419214598264373,0.09409139740517312
expert4,4,xss,9,0.001,0.33532842891109305,0.0009995831691728208,0.9262886295666451,34106,89445,304207,98529,0.884698156775841,0.0511077256805312,0.7553508998450598
expert4,4,xss,9,0.01,0.24595879326648823,0.009880344621208044,0.9340878437811528,34106,89445,307579,216892,0.8945046444130358,0.1125034947913992,0.586455685824383
expert5,5,backdoor,0,0.001,0.045984213314772204,0.0009947825498908705,1.0,4292,119259,40012,39325,0.9995503372470647,0.01762115129634766,0.5043296318237392
expert5,5,backdoor,0,0.01,0.020962193169249018,0.009345760851002907,1.0,4292,119259,40014,69539,0.9996002997751686,0.031159751811741132,0.3652478708935401
expert5,5,benign,1,0.001,0.6129245764541655,0.0009994796549811214,0.6920529801324503,604,122947,1017381,1308,0.6900763886910551,0.0016402878780468536,0.9987159967369825
expert5,5,benign,1,0.01,0.13201760882004376,0.00998126866414072,0.9536423841059603,604,122947,1303036,10225,0.883832484796195,0.012822586814242413,0.9922140381843365
expert5,5,ddos,2,0.001,0.8244364415690348,0.0008699401921117789,0.9930220883534137,19920,103631,98274,148,0.9509957614817396,6.825356198276597e-05,0.9984962711588873
expert5,5,ddos,2,0.01,0.6001699794867635,0.009322675413011065,0.9961345381526104,19920,103631,100631,971,0.9738044088331494,0.0004477987073328768,0.9904431015137497
expert5,5,dos,3,0.001,0.2726029170048573,0.0008698134711543768,0.9437971213159698,2918,120633,22129,14294,0.9853504319173568,0.006354964844071285,0.6075556653762733
expert5,5,dos,3,0.01,0.1889020918088691,0.009996656889512725,0.9746401644962303,2918,120633,22321,62311,0.9938997239291121,0.027702827368051342,0.2637418470554873
expert5,5,injection,4,0.001,0.5792624402844088,0.0009971047024963531,0.9474218089602705,29575,93976,65727,7235,0.9540723752014051,0.00328440843423375,0.9008387927962501
expert5,5,injection,4,0.01,0.19879739401873753,0.00942556578093197,0.9596956889264582,29575,93976,66770,37719,0.9692122338186411,0.017122958083049457,0.6390146331192758
expert5,5,mitm,5,0.001,0.5804580945968303,0.00031771347466440783,0.9428571428571428,420,123131,1096,7516,0.9440137812230835,0.0033101936877301744,0.12726428239665583
expert5,5,mitm,5,0.01,0.30121205454250943,0.009767400610154513,0.9809523809523809,420,123131,1151,48816,0.9913867355727821,0.02149952302557693,0.02303520323413453
expert5,5,password,6,0.001,0.11777928236104611,0.0006788502080210415,0.9977332378907182,25146,98405,210596,52722,0.9983171447397737,0.025583616237021854,0.7997782149340341
expert5,5,password,6,0.01,0.03763918101906259,0.009739984252287722,0.9980911476974469,25146,98405,210701,62660,0.9988148906618125,0.03040608082796156,0.7707792991684987
expert5,5,ransomware,7,0.001,0.4601981203491808,0.0007186182364517155,0.9386281588447654,277,123274,652,8264,0.919605077574048,0.003638903150751162,0.07312696276357111
expert5,5,ransomware,7,0.01,0.3107620939004991,0.009314030687238049,0.9566787003610109,277,123274,695,44226,0.9802538787023978,0.019474120370900398,0.015471605707798134
expert5,5,scanning,8,0.001,0.6970090694583305,0.0007209229129527061,0.4775146988717623,6293,117258,1753,64,0.2907613202852878,2.8247415582157167e-05,0.9647771051183269
expert5,5,scanning,8,0.01,0.18824263700305988,0.009462056634431707,0.9609089464484347,6293,117258,5491,64470,0.9107646375850058,0.028454857540338635,0.07848658538328497
expert5,5,xss,9,0.001,0.3258425058876861,0.0009940737934909121,0.9764264352313375,34106,89445,330159,101396,0.9601720497653073,0.0525948599204614,0.7650450116439388
expert5,5,xss,9,0.01,0.2804921570277321,0.009599459769575934,0.9858382689262887,34106,89445,337128,105095,0.9804393725243854,0.05451355875321404,0.7623484079299359
expert6,6,backdoor,0,0.001,0.03781690743427912,0.00043719653002122775,1.0,4292,119259,40012,16324,0.9995503372470647,0.007314626160497882,0.7102385685884692
expert6,6,backdoor,0,0.01,0.016288211375786177,0.009620497377281628,1.0,4292,119259,40014,103923,0.9996002997751686,0.04656688890452226,0.2779966235227912
expert6,6,benign,1,0.001,0.551276668059066,0.0009916179223073817,0.9652317880794702,604,122947,1037455,1820,0.7036923235537902,0.0022823577507991386,0.9982487791970364
expert6,6,benign,1,0.01,0.20235949535106096,0.009999230885944003,0.9983443708609272,604,122947,1269605,12504,0.8611566693933808,0.015680550173622215,0.9902473190656956
expert6,6,ddos,2,0.001,0.19084909092994046,0.0008484703722641426,0.9990461847389558,19920,103631,101844,5806,0.9855425883992336,0.0026775687896752652,0.9460659544821179
expert6,6,ddos,2,0.01,0.05656260804506931,0.009790452401242185,0.9999497991967872,19920,103631,102851,61745,0.9952873096053727,0.028475109355580307,0.6248693771416073
expert6,6,dos,3,0.001,0.288432929709927,0.0004732791140728405,0.9482522275531186,2918,120633,22147,2957,0.9861519280434589,0.0013146516751027558,0.8822100063734863
expert6,6,dos,3,0.01,0.17505239297093858,0.009998428774786561,0.9705277587388622,2918,120633,22302,28307,0.9930537002404488,0.012584999988885258,0.4406726076389575
expert6,6,injection,4,0.001,0.38828273965407883,0.0009950996253327688,0.9508030431107354,29575,93976,66144,8552,0.9601254155114601,0.003882275180313342,0.8855092642176288
expert6,6,injection,4,0.01,0.1340853980701441,0.009994975808839708,0.9634488588334742,29575,93976,66966,53164,0.9720573079212088,0.02413438700727064,0.5574461000582702
expert6,6,mitm,5,0.001,0.4814618769247183,0.000371731249926316,0.9452380952380952,420,123131,1093,47519,0.9414298018949182,0.02092829880884116,0.02248416028964042
expert6,6,mitm,5,0.01,0.29791764886132943,0.009681419841550723,0.9833333333333333,420,123131,1153,78838,0.9931093884582257,0.03472180015344219,0.014414121588678726
expert6,6,password,6,0.001,0.09124620082948429,0.0007228440811710774,0.9989262705798139,25146,98405,210753,53955,0.9990613934041555,0.026181935701766135,0.796171630626955
expert6,6,password,6,0.01,0.0322887545737395,0.009992945685933381,0.9991251093613298,25146,98405,210816,166244,0.9993600409573787,0.08067073892696523,0.5591046517795576
expert6,6,ransomware,7,0.001,0.25136967358336576,0.0007277507538324513,0.9386281588447654,277,123274,649,13314,0.9153737658674189,0.005862579446890244,0.04647998281171668
expert6,6,ransomware,7,0.01,0.06588668669386825,0.00999645436184449,0.9783393501805054,277,123274,692,80106,0.9760225669957687,0.03527323037198361,0.008564568429911632
expert6,6,scanning,8,0.001,0.34115518183282934,0.0008457243400453826,0.9221357063403782,6293,117258,5238,44794,0.8688007961519323,0.01977054271229919,0.10469299648225136
expert6,6,scanning,8,0.01,0.13601706857246273,0.009762211808192615,0.9699666295884316,6293,117258,5925,70674,0.9827500414662464,0.031193091388333993,0.07735087925429836
expert6,6,xss,9,0.001,0.2864460305041863,0.0007437808245598698,0.9671318829531461,34106,89445,325680,112601,0.9471461725034462,0.05840697682259531,0.7430849158416633
expert6,6,xss,9,0.01,0.12604719037668896,0.009901414126517852,0.9950155397877206,34106,89445,341773,231878,0.9939480128193943,0.12027684453663605,0.5957855908906287
expert7,7,backdoor,0,0.001,0.04250941648406141,0.0009942228559811615,1.0,4292,119259,40014,10327,0.9996002997751686,0.004627428593449009,0.7948590612025983
expert7,7,backdoor,0,0.01,0.016429885419003833,0.009419750017050615,1.0,4292,119259,40016,104294,0.9996502623032726,0.04673313040816994,0.2772919409604324
expert7,7,benign,1,0.001,0.5714997227541121,0.0009998296771912497,0.6821192052980133,604,122947,1012079,1354,0.6864801105879257,0.0016979738431769417,0.9986639471972987
expert7,7,benign,1,0.01,0.11227891727728223,0.00999863714296615,0.9586092715231788,604,122947,1290090,10267,0.875051380246381,0.012875256608491625,0.9921044759246884
expert7,7,ddos,2,0.001,0.7220220358331206,0.0008385872631987057,0.9939257028112449,19920,103631,98011,1132,0.9484507151289941,0.0005220475146249398,0.9885821490170763
expert7,7,ddos,2,0.01,0.3733550745552558,0.009326438472203814,0.9959839357429718,19920,103631,100589,4243,0.9733979755752966,0.0019567558344113244,0.9595257173382173
expert7,7,dos,3,0.001,0.3652667074548868,0.0007288210738786475,0.9328307059629883,2918,120633,22030,431,0.9809422032237956,0.00019161815081815615,0.9808111838297493
expert7,7,dos,3,0.01,0.08281280725575375,0.009999137620222224,0.9619602467443454,2918,120633,22246,378644,0.9905601567370202,0.16834121368535945,0.05549153134276236
expert7,7,injection,4,0.001,0.22045137036740484,0.00099836262778135,0.9686559594251902,29575,93976,66329,6546,0.9628108170878634,0.002971629248167813,0.9101749571183534
expert7,7,injection,4,0.01,0.1495094702679443,0.009996146073111847,0.9813355874894336,29575,93976,67248,23531,0.9761507308646993,0.010682158239938407,0.7407880677249143
expert7,7,mitm,5,0.001,0.535034883763649,0.0008793438138189857,0.9476190476190476,420,123131,1091,9934,0.9397071490094746,0.004375128272207498,0.09895691609977324
expert7,7,mitm,5,0.01,0.21927395233515176,0.009658446427036931,0.9857142857142858,420,123131,1154,83326,0.9939707149009475,0.03669840330279464,0.01366003787878788
expert7,7,password,6,0.001,0.11821351323026152,0.0009985475124453234,0.9975741668655055,25146,98405,210610,54041,0.9983835108627122,0.026223667635235728,0.7958027742196326
expert7,7,password,6,0.01,0.04395825768586719,0.009994448164389056,0.9990853416050266,25146,98405,210801,111658,0.9992889343970874,0.05418260729474197,0.6537296214402452
expert7,7,ransomware,7,0.001,0.5030000636295566,0.0007167917329755685,0.9386281588447654,277,123274,669,7907,0.9435825105782792,0.003481704648232023,0.07800839552238806
expert7,7,ransomware,7,0.01,0.11979182779755056,0.009343713928586793,0.9783393501805054,277,123274,701,59869,0.9887165021156559,0.026362232905653597,0.011573386164768037
expert7,7,scanning,8,0.001,0.4822069543473953,0.00072490856227587,0.7106308596853647,6293,117258,3818,4826,0.6332725161718361,0.002130031681242039,0.44169366034243407
expert7,7,scanning,8,0.01,0.20515564079222887,0.009486223957747456,0.9615445733354521,6293,117258,5878,60321,0.974954387128877,0.0266236305520516,0.08879288206770496
expert7,7,xss,9,0.001,0.7973370948825017,0.0006919634361181208,0.9326804667800387,34106,89445,304592,101970,0.8858178180274187,0.05289259799291342,0.7491895455059745
expert7,7,xss,9,0.01,0.5096438576245206,0.009759714417667802,0.9982700991027972,34106,89445,343122,127997,0.9978711895164808,0.06639299661958359,0.7283128041959674
