model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows,test_TP,test_FP,test_recall,test_fpr,test_precision
global,0,backdoor,0,0.001,0.05761911480247685,0.0009973195348957208,1.0,4292,119259,40014,14880,0.9996002997751686,0.006667583758160285,0.7289321237293693
global,0,backdoor,0,0.01,0.02102471631643658,0.009998633157766784,1.0,4292,119259,40018,79490,0.9997002248313764,0.035618698450010824,0.33485624393346053
global,0,benign,1,0.001,0.9014043033874621,0.0009996007719679572,0.6903973509933775,604,122947,606481,1328,0.41136822713392507,0.0016653687324512396,0.9978151030998225
global,0,benign,1,0.01,0.50963965109361,0.00998931122409631,0.9768211920529801,604,122947,1243555,10137,0.8434872909349644,0.012712231054863115,0.9919142819767535
global,0,ddos,2,0.001,0.5672234511890656,0.0009262013141934499,0.9961345381526104,19920,103631,97805,514,0.9464572567690491,0.00023704277607528184,0.9947721193258678
global,0,ddos,2,0.01,0.2403656166343714,0.009850545098636294,0.998343373493976,19920,103631,101836,3234,0.985465172540595,0.0014914325638666565,0.9692205196535643
global,0,dos,3,0.001,0.194611965714896,0.0008145524501364887,0.95407813570939,2918,120633,22197,1728,0.9883783061715201,0.0007682509619809138,0.9277742946708464
global,0,dos,3,0.01,0.08998883160769013,0.00999775454844745,0.9917751884852639,2918,120633,22398,68732,0.9973283462463265,0.030557537684532503,0.24578075277076702
global,0,injection,4,0.001,0.4564767050614007,0.0009990031253664497,0.944480135249366,29575,93976,65553,4159,0.9515466461511664,0.001888024143466229,0.9403402570576085
global,0,injection,4,0.01,0.14195234903642207,0.00890167188389496,0.9593913778529163,29575,93976,67003,28420,0.9725943882364896,0.012901573973866369,0.7021682403613385
global,0,mitm,5,0.001,0.24426751283872764,0.0009997226504522543,0.9571428571428572,420,123131,1121,46890,0.9655469422911284,0.020651274882606156,0.023348815896357084
global,0,mitm,5,0.01,0.11315760964997591,0.009997660913708383,0.9833333333333333,420,123131,1148,73712,0.9888027562446167,0.03246420930148571,0.015335292546086027
global,0,password,6,0.001,0.11073665705385481,0.0009998628967894285,0.9986081285293884,25146,98405,210693,54715,0.9987769671629905,0.026550729532427653,0.793845701712081
global,0,password,6,0.01,0.055190685078906086,0.009998659574227105,0.9990455738487235,25146,98405,210811,65298,0.999336338770615,0.031686183624389304,0.7635064412967343
global,0,ransomware,7,0.001,0.18300272819332522,0.0007236037088207049,0.9386281588447654,277,123274,648,10231,0.9139633286318759,0.00450503607639583,0.0595642981891718
global,0,ransomware,7,0.01,0.04325490399789497,0.009773306805631885,0.9602888086642599,277,123274,685,74735,0.9661495063469676,0.03290820752315926,0.009082471492972687
global,0,scanning,8,0.001,0.2857404431971686,0.0007740338890638783,0.28793897981884636,6293,117258,1540,3374,0.25543207828827336,0.001489168440221848,0.31339031339031337
global,0,scanning,8,0.01,0.09154704901772963,0.009643653105074222,0.8431590656284761,6293,117258,4594,40327,0.7619837452313817,0.017798961377838315,0.1022684267937045
global,0,xss,9,0.001,0.21308047905340227,0.0009983111031749582,0.9643464493051076,34106,89445,322429,129040,0.9376915784024615,0.06693400848294152,0.7141774961293024
global,0,xss,9,0.01,0.08880649944377567,0.009362247303587812,0.9969506831642526,34106,89445,342566,153565,0.9962542241765401,0.07965530852978081,0.690474894735463
