split,arm,stage,class,rows,bank_correctable,helpful,harmful
cal_select,legacy,top1_no_gates,benign,661,26,26,0
cal_select,legacy,top1_no_gates,ddos,35013,0,0,0
cal_select,legacy,top1_no_gates,dos,35004,0,0,0
cal_select,legacy,top1_no_gates,reconnaissance,2661,6,5,77
cal_select,legacy,top1_no_gates,theft,22,4,4,0
cal_select,legacy,post_gt0_no_pre_gate,benign,661,26,9,0
cal_select,legacy,post_gt0_no_pre_gate,ddos,35013,0,0,0
cal_select,legacy,post_gt0_no_pre_gate,dos,35004,0,0,0
cal_select,legacy,post_gt0_no_pre_gate,reconnaissance,2661,6,0,5
cal_select,legacy,post_gt0_no_pre_gate,theft,22,4,0,0
cal_select,legacy,original_final_policy,benign,661,26,0,0
cal_select,legacy,original_final_policy,ddos,35013,0,0,0
cal_select,legacy,original_final_policy,dos,35004,0,0,0
cal_select,legacy,original_final_policy,reconnaissance,2661,6,0,0
cal_select,legacy,original_final_policy,theft,22,4,0,0
cal_confirm,legacy,top1_no_gates,benign,268,13,13,0
cal_confirm,legacy,top1_no_gates,ddos,14978,0,0,0
cal_confirm,legacy,top1_no_gates,dos,14996,0,0,0
cal_confirm,legacy,top1_no_gates,reconnaissance,666,2,2,7
cal_confirm,legacy,top1_no_gates,theft,9,1,1,0
cal_confirm,legacy,post_gt0_no_pre_gate,benign,268,13,7,0
cal_confirm,legacy,post_gt0_no_pre_gate,ddos,14978,0,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,dos,14996,0,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,reconnaissance,666,2,0,0
cal_confirm,legacy,post_gt0_no_pre_gate,theft,9,1,0,0
cal_confirm,legacy,original_final_policy,benign,268,13,0,0
cal_confirm,legacy,original_final_policy,ddos,14978,0,0,0
cal_confirm,legacy,original_final_policy,dos,14996,0,0,0
cal_confirm,legacy,original_final_policy,reconnaissance,666,2,0,0
cal_confirm,legacy,original_final_policy,theft,9,1,0,0
full_test,legacy,top1_no_gates,benign,7475,505,448,1
full_test,legacy,top1_no_gates,ddos,1425033,290,285,0
full_test,legacy,top1_no_gates,dos,1576325,538,519,321
full_test,legacy,top1_no_gates,reconnaissance,266491,24,9,319
full_test,legacy,top1_no_gates,theft,81,25,23,0
full_test,legacy,post_gt0_no_pre_gate,benign,7475,505,214,1
full_test,legacy,post_gt0_no_pre_gate,ddos,1425033,290,1,0
full_test,legacy,post_gt0_no_pre_gate,dos,1576325,538,519,0
full_test,legacy,post_gt0_no_pre_gate,reconnaissance,266491,24,0,12
full_test,legacy,post_gt0_no_pre_gate,theft,81,25,0,0
full_test,legacy,original_final_policy,benign,7475,505,0,0
full_test,legacy,original_final_policy,ddos,1425033,290,0,0
full_test,legacy,original_final_policy,dos,1576325,538,0,0
full_test,legacy,original_final_policy,reconnaissance,266491,24,0,0
full_test,legacy,original_final_policy,theft,81,25,0,0
