split,arm,stage,rows,bank_correctable,helpful,harmful,changed,correctable_recovery,diagnostic_only,uses_all_expert_post_information
cal_select,legacy,top1_no_gates,73361,36,35,77,41725,0.9722222222222222,True,False
cal_select,legacy,post_gt0_no_pre_gate,73361,36,9,5,39730,0.25,True,False
cal_select,legacy,original_final_policy,73361,36,0,0,0,0.0,False,False
cal_confirm,legacy,top1_no_gates,30917,16,16,7,17840,1.0,True,False
cal_confirm,legacy,post_gt0_no_pre_gate,30917,16,7,0,17815,0.4375,True,False
cal_confirm,legacy,original_final_policy,30917,16,0,0,0,0.0,False,False
full_test,legacy,top1_no_gates,3275405,1382,1284,641,1567940,0.9290882778581766,True,False
full_test,legacy,post_gt0_no_pre_gate,3275405,1382,734,13,1562712,0.5311143270622286,True,False
full_test,legacy,original_final_policy,3275405,1382,0,0,0,0.0,False,False
