K,beta,tune_expert_balanced_nll
2,0.0,2.061573
2,0.5,3.731449
2,1.0,7.132901
4,0.0,1.127158
4,0.5,2.592143
4,1.0,5.867618
8,0.0,1.228608
8,0.5,3.073102
8,1.0,6.808849
