class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3495284,0,0,7642,0
bot,41542,41417,0,0,125,0
brute_force,115040,115020,0,0,20,0
ddos,264872,217749,0,0,47123,0
dos,60594,38846,0,0,21748,0
infiltration,37631,11934,0,0,25697,0
web_attacks,509,470,0,0,39,0
