expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15388,12761,15388,0,0,0,0,0,15388,0
2,38585,12761,38585,6,0,38556,0,0,23,0
3,252,12761,252,0,0,0,0,0,0,252
4,1929734,12761,186000,175726,2078,712,2626,2602,2256,0
