expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9295,1,14246,0.7276,0.6081
2,202121,normgain,0.6401,8595,64153,0.7962,0.1
3,202121,normgain,0.9717,0,5714,0.8053,0.3461
4,202121,normgain,0.8937,1177,20308,0.653,0.9077
