class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,30731,30731,0,3500275,3500275
bot,30,30,0,41417,41417
brute_force,21110,21110,0,115020,115020
ddos,144,144,0,262548,262548
dos,2,2,0,38862,38862
infiltration,525,525,0,10073,10073
web_attacks,2150,2150,0,227,227
