class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),_footer,delta_f1
normal,2685167,0.996282394138175,0.9915058073111461,0.7116022951272677,0.9922306508310283,0.8302162818363752,0.9918680966446941,,0.16165181480831892
ddos-attack-hoic,137203,0.9999781350669795,0.9999927115827527,1.0,1.0,0.9999890674139696,0.9999963557780961,,7.288364126445401e-06
ddos-attacks-loic-http,115238,0.9990890240410893,0.999861077345188,0.9992884291639911,0.9992884291639911,0.9991887166538683,0.9995746712382275,,0.00038595458435919383
dos-attacks-hulk,92383,0.999989175614825,1.0,1.0,1.0,0.9999945877781206,1.0,,5.412221879441681e-06
bot,57238,0.9992667341736793,0.9999650581781334,0.9999650581781334,0.9999650581781334,0.9996157742149568,0.9999650581781334,,0.00034928396317657207
ftp-bruteforce,38671,0.7155896083233897,0.7156195699960224,0.8839440407540534,0.8839440407540534,0.7909069875057844,0.7909252874892987,,1.8299983514324936e-05
ssh-bruteforce,37518,0.9998134378081608,0.9999466894125173,0.9998933845087691,0.9998933845087691,0.999853409560362,0.9999200362502332,,6.662668987122977e-05
infilteration,32219,0.0314529828806409,0.32408301158301156,0.7786709705453304,0.291784350848878,0.060463647822388035,0.3070867427768795,,0.24662309495449145
dos-attacks-slowhttptest,27978,0.7622855327261173,0.7623107063433231,0.5145114018157123,0.5145828865537208,0.6143570483547437,0.6144161829976101,,5.913464286644299e-05
dos-attacks-goldeneye,8301,0.9980759980759981,0.9996387283236994,0.9998795325864354,1.0,0.9989769513149185,0.9998193315266486,,0.0008423802117301094
dos-attacks-slowloris,2198,0.9900811541929666,0.9995450409463148,0.9990900818926297,0.9995450409463148,0.9945652173913043,0.9995450409463148,,0.004979823555010476
ddos-attack-loic-udp,346,0.8080568720379147,0.8095238095238095,0.9855491329479769,0.9826589595375722,0.8880208333333334,0.8877284595300261,,-0.0002923738033072665
brute-force--web,122,0.06651376146788991,0.08556547619047619,0.9508196721311475,0.9426229508196722,0.12433011789924973,0.15688949522510232,,0.03255937732585258
brute-force--xss,46,0.8076923076923077,0.803921568627451,0.9130434782608695,0.8913043478260869,0.8571428571428571,0.845360824742268,,-0.01178203240058906
sql-injection,17,0.2222222222222222,0.5,0.7058823529411765,0.7058823529411765,0.3380281690140845,0.5853658536585366,,0.24733768464445205
macro avg,3234645,0.7597592893641569,0.7994319503575897,0.8961426553902329,0.8802468301939599,0.7663766444824209,0.8118974291321379,True,0.04552078464971698
weighted avg,3234645,0.9816872310844078,0.9806924606619166,0.7527676143749933,0.9808754902006248,0.843769336214207,0.9804472007064003,True,0.13667786449219332
