expert,regime_rows,anchor_rows,block_rows,select_s,fit_s,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,0.0,0.0,2000,2000,2000,2000,2000,2000,761
1,9527,12761,9527,0.0,0.6,1972,0,0,0,7412,25,118
2,15600,12761,15600,0.0,0.8,0,0,0,0,0,15467,133
3,1957254,12761,186000,8.9,14.9,100241,8844,37118,15522,22710,1564,1
4,17619,12761,17619,0.0,0.9,0,9,17610,0,0,0,0
