method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.7952,0.7205,0.0164,0.002046
global_tabpfn,4023114,0.6718,0.648,0.0382,0.003209
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
