run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,1.0,4023114,0.204783,7,0.022928,0.742846
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.99,3982883,0.157935,7,0.017686,0.785065
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.97,3902421,0.17049,7,0.016135,0.779085
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.95,3821958,0.151527,7,0.01247,0.79144
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.9,3620803,0.175336,7,0.009178,0.746415
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.8,3218491,0.164326,7,0.007386,0.752621
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.7,2816180,0.144322,7,0.005079,0.765558
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.5,2011557,0.110525,7,0.002377,0.804182
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,0.3,1206934,0.067282,7,0.002076,0.84057
20260826_130310_nfv3_cic2018_exp22c_racectx,system_maxprob,AURC_balanced,4023114,0.09217,7,,
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,1.0,4023114,0.328179,7,0.035117,0.679968
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.99,3982883,0.302148,7,0.029154,0.715778
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.97,3902421,0.389724,7,0.028695,0.606542
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.95,3821958,0.362328,7,0.024945,0.618298
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.9,3620803,0.323439,7,0.021781,0.639247
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.8,3218491,0.281723,7,0.020428,0.655298
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.7,2816180,0.300729,7,0.020199,0.613335
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.5,2011557,0.271223,7,0.004277,0.638579
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,0.3,1206934,0.063587,6,0.002279,0.711018
20260826_130310_nfv3_cic2018_exp22c_racectx,global_maxprob,AURC_balanced,4023114,0.184792,7,,
