class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,108922,63649,-45273,3491685,3495759
bot,4,2,-2,41415,41371
brute_force,21110,21110,0,77344,108648
ddos,216,206,-10,237096,237109
dos,4,4,0,21976,35748
infiltration,8946,3865,-5081,12084,11817
web_attacks,2079,3404,1325,233,422
