a,b,agreement
global,e1,0.5463
global,e2,0.486
global,e3,0.8685
global,e4,0.5661
e1,e2,0.8337
e1,e3,0.6216
e1,e4,0.6709
e2,e3,0.4731
e2,e4,0.6397
e3,e4,0.5568
