class,rows,proposed,accepted
benign,3502926,1919313,1798129
bot,41542,41387,33311
brute_force,115040,115024,31304
ddos,264872,264041,228401
dos,60594,59981,20978
infiltration,37631,27542,16838
web_attacks,509,469,460
