true_class,support,benign_gate_rate,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Main_accept_rate,WebBot_Main_selected_rate,WebBot_Main_margin,WebBot_Main_stability,Rare_Micro_accept_rate,Rare_Micro_selected_rate,Rare_Micro_margin,Rare_Micro_stability
benign,454537,0.9972059480306333,8.800163683044505e-06,0.0008910165729082561,0.0008778163273836893,-0.008473317138850689,0.0012444132007658482,0.000818415222523139,0.000453208429676792,-0.018476609140634537,0.0024797806981951,0.002318843130482227,0.0007744144041079164,0.0025407965295016766,0.002223752439022064,0.0019250358056659854,0.000679812644515188,0.001703390502370894,0.0027863059658557177
bot,393,0.007633587786259542,0.0,0.002544529262086514,0.0,-5.44485330581665,0.46394553780555725,0.21119592875318066,0.0,-4.392935752868652,0.9314966797828674,0.9923664122137404,0.989821882951654,2.1921536922454834,0.992334246635437,0.4020356234096692,0.002544529262086514,-1.2227449417114258,0.9910309910774231
ddos,25606,0.0,0.0,0.9997266265718973,0.9997266265718973,6.548417091369629,0.3386569619178772,0.00039053346871826915,0.0,-10.665573120117188,0.9028863906860352,0.14313051628524565,0.0,-0.2410575896501541,0.9227503538131714,1.0,0.0002733734281027884,5.349725723266602,0.9859474301338196
dos-goldeneye,2059,0.0,0.0,0.9907722195240408,0.9907722195240408,5.670374393463135,0.9700248837471008,0.0,0.0,-9.137405395507812,0.9328218698501587,0.65808644973288,0.0009713453132588635,0.18310096859931946,0.7695191502571106,0.5322972316658572,0.00825643516270034,-0.1568688303232193,0.9978480339050293
dos-hulk,46025,0.0,0.0005866376969038566,0.9959587180879956,0.995893536121673,6.055944442749023,0.6760923862457275,0.0,0.0,-11.830460548400879,0.9078615307807922,0.2918196632265073,0.0007821835958718088,-0.1208893433213234,0.82590252161026,0.6726778924497556,0.0027376425855513307,0.860236644744873,0.9943569898605347
dos-slowhttptest,1100,0.0009090909090909091,0.0009090909090909091,0.9845454545454545,0.9845454545454545,3.9626145362854004,0.5602921843528748,0.0,0.0,-6.472261905670166,0.9279018044471741,0.21,0.0,-0.16651180386543274,0.9746007323265076,0.2381818181818182,0.013636363636363636,-0.9622746109962463,0.9965963363647461
dos-slowloris,1159,0.0025884383088869713,0.0025884383088869713,0.9620362381363244,0.9611734253666955,3.645020008087158,0.5723108053207397,0.0,0.0,-8.251436233520508,0.9108902812004089,0.44176013805004316,0.0,-0.05957072228193283,0.9573038220405579,0.45297670405522,0.03364969801553063,-0.26471516489982605,0.9954646229743958
ftp-patator,1588,0.0,0.0031486146095717885,0.0,0.0,-4.199363708496094,0.4296870827674866,0.9924433249370277,0.9924433249370277,1.5276368856430054,0.3882284164428711,0.9943324937027708,0.0006297229219143577,0.32211267948150635,0.8930166959762573,0.4892947103274559,0.003778337531486146,0.19172276556491852,0.9986699819564819
heartbleed,2,0.0,0.0,0.0,0.0,-2.248974323272705,0.7712641954421997,0.0,0.0,-7.993355751037598,0.95354163646698,0.0,0.0,-0.5574945211410522,0.9202144742012024,1.0,1.0,1.2717244625091553,0.8292697072029114
infiltration,7,0.0,0.14285714285714285,0.14285714285714285,0.0,-1.819182276725769,0.5412251353263855,0.0,0.0,-2.618263006210327,0.9775930643081665,0.0,0.0,-0.13915522396564484,0.9919994473457336,0.8571428571428571,0.8571428571428571,1.6548908948898315,0.9997088313102722
portscan,31786,6.292078273453722e-05,0.00031460391367268606,0.00040898508777449194,0.00040898508777449194,-5.408130645751953,0.3547591269016266,0.9834518341408167,0.9832630717926131,2.3575446605682373,0.8977680802345276,0.9929843327250991,0.0006292078273453721,0.8150702118873596,0.995721697807312,0.07773862706852074,0.015321210595859813,-11.374696731567383,0.9920802712440491
ssh-patator,1179,0.0,0.0,0.002544529262086514,0.002544529262086514,-5.488401412963867,0.4680182933807373,0.9711620016963528,0.4775233248515691,0.6127039790153503,0.9888361096382141,0.9974554707379135,0.07124681933842239,0.4610849916934967,0.9472076296806335,0.452078032230704,0.448685326547922,0.2308042049407959,0.9983519911766052
web-attack-�-brute-force,302,0.0,0.0,0.10596026490066225,0.0695364238410596,-1.9489357471466064,0.4298015832901001,0.0,0.0,-3.675478935241699,0.9318006634712219,0.956953642384106,0.046357615894039736,0.2835710644721985,0.9154374003410339,0.956953642384106,0.8841059602649006,0.806306779384613,0.9983415603637695
web-attack-�-sql-injection,4,0.0,0.0,0.5,0.5,-2.639063835144043,0.6935406923294067,0.0,0.0,-12.478045463562012,0.9146432876586914,1.0,0.0,0.3264915347099304,0.7270014882087708,1.0,0.5,1.8160901069641113,0.9972248077392578
web-attack-�-xss,130,0.0,0.0,0.038461538461538464,0.03076923076923077,-2.18015456199646,0.36712968349456787,0.0,0.0,-3.0233397483825684,0.9373207688331604,0.9538461538461539,0.06153846153846154,0.18332135677337646,0.8326452374458313,0.9538461538461539,0.9076923076923077,0.7401502728462219,0.9983655214309692
