expert,epoch,loss,ce_loss,energy_margin_loss,val_macro_f1,val_accuracy
flood,1,0.005781494119957089,0.00029044656920060514,0.054910474528729915,0.5,1.0
flood,2,0.0007959483196996152,0.00011235577200492844,0.0068359253516495225,0.5,1.0
flood,3,0.00036360294212400916,6.128866022359579e-05,0.0030231427624598144,0.5,1.0
flood,4,0.00021569735156651585,3.909251814824529e-05,0.001766048298254609,0.5,1.0
flood,5,0.00013870996938552708,2.7179339829366655e-05,0.0011153062821999192,0.5,1.0
flood,6,9.858180517423898e-05,2.018449187395163e-05,0.0007839731216989457,0.5,1.0
flood,7,7.122582429181785e-05,1.5283967608003876e-05,0.0005594185569621623,0.5,1.0
flood,8,5.459754904627334e-05,1.2008692839299329e-05,0.0004258885519836185,0.5,1.0
flood,9,4.182145591871813e-05,9.644196044304408e-06,0.0003217725928686559,0.5,1.0
flood,10,3.444395064463606e-05,7.904166998283472e-06,0.00026539783160894876,0.5,1.0
flood,11,2.9298851973609998e-05,6.511198790482012e-06,0.00022787652784679084,0.5,1.0
flood,12,2.419582212745445e-05,5.36372195565491e-06,0.0001883209998839302,0.5,1.0
flood,13,1.9291188029688782e-05,4.5089001749875025e-06,0.00014782287636119873,0.5,1.0
flood,14,1.6116204419755377e-05,3.761749730387237e-06,0.0001235445446310332,0.5,1.0
flood,15,1.4045466549723642e-05,3.2252661995880774e-06,0.0001082020019058691,0.5,1.0
recon,1,0.005432266496494412,0.00024104631163645535,0.05191220097279549,0.5,1.0
recon,2,0.0017681139452084898,0.00010904754039365798,0.016590663719534875,0.5,1.0
recon,3,0.0011607162636332214,6.037301034806296e-05,0.011003432334423064,0.5,1.0
recon,4,0.0010026851461827754,3.854696958628483e-05,0.009641381620287895,0.5,1.0
recon,5,0.0008838109406642616,2.8071077221422456e-05,0.00855739851129055,0.5,1.0
recon,6,0.0008262296847850085,2.0403313801274636e-05,0.008058263581842183,0.5,1.0
recon,7,0.0007738726298809051,1.554967790580122e-05,0.007583229425787926,0.5,1.0
recon,8,0.0006969996470101178,1.1316720454778989e-05,0.006856829166948795,0.5,1.0
recon,9,0.0006222776725757867,7.637691563955741e-06,0.006146399694532156,0.5,1.0
recon,10,0.0005965164819248021,5.660996766499011e-06,0.005908554743230343,0.5,1.0
recon,11,0.0005722373965047299,4.442689276736928e-06,0.005677947001874447,0.5,1.0
recon,12,0.0005391944632194936,3.360372169147013e-06,0.005358340803176165,0.5,1.0
recon,13,0.0005298066406771541,2.731728454440599e-06,0.005270749002963305,0.5,1.0
recon,14,0.0005178924375846982,2.2770714099606265e-06,0.00515615356349945,0.5,1.0
recon,15,0.000502041325494647,2.0156633822334698e-06,0.0050002565204203125,0.5,1.0
theft,1,0.1853836476802826,0.17076656222343445,0.14617092907428741,0.5,1.0
theft,2,0.17064717411994934,0.1553651988506317,0.15281975269317627,0.5,1.0
theft,3,0.157194584608078,0.14294180274009705,0.14252781867980957,0.5,1.0
theft,4,0.1464320421218872,0.1326616257429123,0.13770411908626556,0.5,1.0
theft,5,0.1406223028898239,0.12693844735622406,0.13683855533599854,0.5,1.0
theft,6,0.1319136619567871,0.11893359571695328,0.1298007220029831,0.5,1.0
theft,7,0.12181282788515091,0.10959681123495102,0.1221601814031601,0.5,1.0
theft,8,0.11743280291557312,0.10534355044364929,0.12089250236749649,0.5,1.0
theft,9,0.10728628933429718,0.09606736153364182,0.11218929290771484,0.5,1.0
theft,10,0.1074451133608818,0.09588897973299026,0.11556132137775421,0.5,1.0
theft,11,0.10054627805948257,0.0897306501865387,0.10815630853176117,0.5,1.0
theft,12,0.09619350731372833,0.08600973337888718,0.10183773934841156,0.5,1.0
theft,13,0.09377465397119522,0.0840463936328888,0.09728258103132248,0.5,1.0
theft,14,0.08839515596628189,0.07953276485204697,0.08862389624118805,0.5,1.0
theft,15,0.08396753668785095,0.07551681250333786,0.08450726419687271,0.5,1.0
benign,1,0.024510305735948673,0.018623104791191253,0.058872011404268225,0.5,1.0
benign,2,0.020211224174693367,0.015489269617463783,0.04721954386018856,0.5,1.0
benign,3,0.017601549855293944,0.01340726770662318,0.04194281968055151,0.5,1.0
benign,4,0.015781260858705893,0.011840298479560328,0.03940962433711817,0.5,1.0
benign,5,0.01428554203229067,0.01057873754799882,0.03706804117411724,0.5,1.0
benign,6,0.013083267757618394,0.009626814942498,0.03456452658963456,0.5,1.0
benign,7,0.012162957575929473,0.008911488977893942,0.03251468686465347,0.5,1.0
benign,8,0.011565833371226363,0.008398859184732748,0.03166974118766492,0.5,1.0
benign,9,0.010974547783864625,0.007956323894132195,0.030182237335754925,0.5,1.0
benign,10,0.010433239105005553,0.007550949421276402,0.028822896686753623,0.5,1.0
benign,11,0.01012667618866046,0.00727409630811083,0.028525798617398578,0.5,1.0
benign,12,0.009615291969921301,0.006900525208349674,0.027147666054146896,0.5,1.0
benign,13,0.00929040705418932,0.00663839870536498,0.0265200834882434,0.5,1.0
benign,14,0.008942830448670018,0.006354472649650079,0.025883577454001456,0.5,1.0
benign,15,0.008704760341496885,0.006166659034804731,0.0253810118627677,0.5,1.0
