expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,dos,target known,dos,96201,100000,0.96201
flood,unseen::ddos,target unseen,dos,98066,100000,0.98066
flood,benign_diagnostic,benign diagnostic,dos,2,51989,3.846967627767412e-05
recon,dos,target known,reconnaissance,1564,100000,0.01564
recon,reconnaissance,target known,reconnaissance,87382,100000,0.87382
recon,unseen::ddos,target unseen,reconnaissance,1,100000,1e-05
recon,benign_diagnostic,benign diagnostic,reconnaissance,35708,51989,0.6868376002615938
theft,dos,target known,theft,97969,100000,0.97969
theft,reconnaissance,target known,theft,5962,100000,0.05962
theft,theft,target known,theft,303,323,0.9380804953560371
theft,unseen::ddos,target unseen,theft,98234,100000,0.98234
theft,benign_diagnostic,benign diagnostic,theft,8455,51989,0.16263055646386734
