true_class,benign,dos,reconnaissance,theft,unseen
benign,5082,0,2943,731,1643
dos,0,96201,1564,216,2019
reconnaissance,267,0,87382,3064,9287
theft,1,0,0,303,19
unseen,0,98066,1,167,1766
