role,branch,count,share_of_role,accuracy
known,all_out,11325,0.056533698077604666,0.0
known,argmin,120041,0.5992372318705291,0.9869711182012813
known,owner_only,68957,0.34422907005186626,0.9485476456342359
known,ALL,200323,1.0,0.9179475147636567
unseen,all_out,1766,0.01766,1.0
unseen,argmin,98067,0.98067,0.0
unseen,owner_only,167,0.00167,0.0
unseen,ALL,100000,1.0,0.01766
benign,all_out,1643,0.15799596115011058,0.0
benign,argmin,3716,0.3573420521203962,0.29467168998923576
benign,owner_only,5040,0.48466198672949323,0.7910714285714285
benign,ALL,10399,1.0,0.4887008366189057
