expert,active_owned_classes,configured_owned_classes,singleton_expert,owned_attack_in_rate (↑),non_owned_attack_false_in_rate (↓),target_non_owned_validation_false_in_rate (↓),unseen_false_in_rate (↓),external_aux_validation_false_in_rate (↓),benign_false_in_rate (diagnostic)
flood,dos,"ddos,dos",True,0.96201,0.0,0.0,0.98066,0.0,3.846967627767412e-05
recon,reconnaissance,reconnaissance,True,0.87382,0.015589645445211965,0.04518808497108678,1e-05,0.0011579359384173789,0.6868376002615938
theft,theft,theft,True,0.9380804953560371,0.519655,0.52035,0.98234,0.23942616868661884,0.16263055646386734
benign,benign,benign,True,0.7379555726512165,0.10590895703438946,0.22195309151440845,0.0,0.028051388747435655,
