class_id,class_name,is_tail,beta,base_prec,base_recall,base_f1,moe_prec,moe_recall,moe_f1,delta_f1
0,analysis,True,0.4,0.9607843137254902,0.09158878504672897,0.16723549488054607,0.85,0.09532710280373832,0.17142857142857143,0.004193076548025365
1,backdoor,True,0.4,0.7916666666666666,0.0815450643776824,0.14785992217898833,0.8260869565217391,0.0815450643776824,0.1484375,0.0005775778210116711
2,dos,True,0.8,0.4806110458284371,0.1250382146132681,0.19844735565259583,0.34116302691721684,0.8214613268113726,0.48210280793038485,0.283655452277789
3,exploits,False,,0.6273369017143744,0.9081414935429534,0.7420627638098733,0.8453261600537996,0.5646266142616507,0.6770349424358716,-0.06502782137400176
4,fuzzers,True,0.8,0.7141740489838457,0.5652711899360693,0.6310579026131,0.6689203925845147,0.6325015467106619,0.6502013991944032,0.01914349658130321
5,generic,False,,0.9950086058519794,0.9819942245625956,0.9884585791228521,0.9957769542359735,0.9813147613385426,0.9884929631689268,3.438404607469803e-05
6,normal,False,,0.906320426142184,0.9513440860215053,0.928286643584094,0.922441978881921,0.9252688172043011,0.9238532356335722,-0.004433407950521717
7,reconnaissance,True,0.1,0.9183411714407866,0.7676912080057183,0.8362857699046136,0.9117398648648649,0.7716225875625446,0.8358497870692992,-0.00043598283531431914
8,shellcode,True,0.2,0.6194690265486725,0.695364238410596,0.6552262090483619,0.6033519553072626,0.7152317880794702,0.6545454545454545,-0.000680754502907388
9,worms,True,0.2,0.5,0.4857142857142857,0.4927536231884058,0.5,0.4857142857142857,0.4927536231884058,0.0
