expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.744,0.0021,4.7833
2,0.2658,0.0004,9.2536
3,0.8596,0.1319,2.5141
4,0.7296,0.0,5.1689
5,0.7499,0.0011,5.4218
