expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9681,140,6299,0.735,0.6331
2,202121,normgain,0.9592,259,7991,0.5886,0.393
3,202121,normgain,0.9271,1439,13289,0.8382,0.7746
4,202121,normgain,0.9664,336,6450,0.7571,0.5584
5,202121,normgain,0.9674,39,6548,0.8111,0.5923
