class,rows,proposed,accepted
benign,3502926,564,148
bot,41542,25654,25654
brute_force,115040,31628,31628
ddos,264872,141001,141001
dos,60594,13560,13559
infiltration,37631,8392,8380
web_attacks,509,0,0
