class,margin_p10,margin_p50,margin_p90
benign,0.29,1.471,4.72
bot,6.525,8.859,9.12
brute_force,0.54,0.54,6.446
ddos,2.302,6.038,11.921
dos,0.54,6.917,9.256
infiltration,0.252,1.692,3.012
web_attacks,0.185,4.549,5.149
