expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,ddos,193,100000,0.00193
flood,ddos,target known,dos,94246,100000,0.94246
flood,dos,target known,ddos,6,100000,6e-05
flood,dos,target known,dos,95135,100000,0.95135
flood,unseen::reconnaissance,target unseen,ddos,23,100000,0.00023
flood,benign_diagnostic,benign diagnostic,ddos,1151,51989,0.022139298697801457
flood,benign_diagnostic,benign diagnostic,dos,20,51989,0.00038469676277674126
theft,ddos,target known,theft,14,100000,0.00014
theft,dos,target known,theft,78,100000,0.00078
theft,theft,target known,theft,61,323,0.18885448916408668
theft,unseen::reconnaissance,target unseen,theft,9874,100000,0.09874
theft,benign_diagnostic,benign diagnostic,theft,4992,51989,0.09602031198907461
