expert,active_owned_classes,ood_role,pre_auroc,pre_aupr_id,pre_fpr95,pre_id_retain,pre_ood_detect,post_auroc,post_aupr_id,post_fpr95,post_id_retain,post_ood_detect,auroc_delta,fpr95_delta,ood_detect_delta
flood,"ddos,dos",non_owned_known_attack,0.986204024767802,0.9999776092709349,0.0030959752321981426,0.93962,1.0,0.9934616563467491,0.9999894224513516,0.0,0.9479,1.0,0.007257631578947099,-0.0030959752321981426,0.0
flood,"ddos,dos",unseen,0.9925503186000001,0.997009140233478,0.00508,0.93962,0.99584,0.9862926914999999,0.9948518595453908,0.00025,0.9479,0.99977,-0.006257627100000218,-0.00483,0.0039300000000001
flood,"ddos,dos",target_non_owned_validation,0.9850159984520124,0.9999756879045159,0.0,0.93962,1.0,0.9937717337461299,0.9999899226656078,0.0,0.9479,1.0,0.00875573529411755,0.0,0.0
flood,"ddos,dos",benign_diagnostic,0.9768119436323066,0.993493259554904,0.06132066398661255,0.93962,0.9525284194733501,0.966567691242378,0.9681962948726234,0.022562465136855874,0.9479,0.9774760045394218,-0.010244252389928654,-0.038758198849756675,0.024947585066071754
flood,"ddos,dos",pooled_attack_out,0.9925298860680002,0.9969934251318844,0.00507361223248906,0.93962,0.9958533935388695,0.9863157727041656,0.994847105539642,0.000249195099827557,0.9479,0.9997707405081586,-0.006214113363834595,-0.004824417132661503,0.003917346969289137
flood,"ddos,dos",unseen::reconnaissance,0.9925503186000001,0.997009140233478,0.00508,0.93962,0.99584,0.9862926914999999,0.9948518595453908,0.00025,0.9479,0.99977,-0.006257627100000218,-0.00483,0.0039300000000001
theft,theft,non_owned_known_attack,0.9902560371517029,0.14672941043624704,0.011765,0.9938080495356038,0.988235,0.9995504953560371,0.6909869896307737,0.00047,0.18885448916408668,0.99954,0.009294458204334277,-0.011295,0.01130500000000001
theft,theft,unseen,0.9054117647058822,0.026402239722982584,0.11034,0.9938080495356038,0.88966,0.9130301547987617,0.0301399803744813,0.1015,0.18885448916408668,0.90126,0.007618390092879457,-0.008839999999999987,0.011599999999999944
theft,theft,target_non_owned_validation,0.99999,0.9854423558993679,1e-05,0.9938080495356038,0.99999,0.9999902476780186,0.9915916195561095,1e-05,0.18885448916408668,0.99999,2.476780185389771e-07,0.0,0.0
theft,theft,benign_diagnostic,0.8562793141464136,0.029845165032481497,0.16601588797630268,0.9938080495356038,0.8339841120236973,0.9155707324846701,0.06689341108881826,0.09628959972301833,0.18885448916408668,0.9039796880109254,0.059291418338256574,-0.06972628825328435,0.06999557598722816
theft,theft,pooled_attack_out,0.961974613003096,0.022319114022772847,0.044623333333333334,0.9938080495356038,0.9553766666666667,0.9707103818369452,0.029540067365310296,0.034146666666666665,0.18885448916408668,0.96678,0.0087357688338493,-0.010476666666666669,0.011403333333333321
theft,theft,unseen::reconnaissance,0.9054117647058822,0.026402239722982584,0.11034,0.9938080495356038,0.88966,0.9130301547987617,0.0301399803744813,0.1015,0.18885448916408668,0.90126,0.007618390092879457,-0.008839999999999987,0.011599999999999944
