class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__theft (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
ddos,flood,False,False,100000,0.4174077578051088,0.02206,0.041905304649285276,0.9698492462311558,0.00193,0.003852333855627302,-0.03805297079365797,0.94439,0.9998849999999999,0.94439,0.00014,9e-05
dos,flood,False,False,100000,0.4966982874805514,0.95452,0.6533937085220058,0.5023471203552626,0.95135,0.6575068853863937,0.004113176864387835,0.95141,0.9916,0.95141,0.00078,0.01602
benign,benign,False,True,10399,,,,0.8020628683693517,0.62813732089624,0.7045246184544032,,0.62813732089624,0.9197038176747764,0.0025002404077315125,0.15809212424271565,0.62813732089624
theft,theft,True,True,323,0.11204188481675392,0.9938080495356038,0.2013801756587202,0.39869281045751637,0.18885448916408668,0.2563025210084034,0.05492234534968318,0.18885448916408668,0.9984520123839009,0.0,0.18885448916408668,0.0030959752321981426
macro_avg,,,,200323,0.342049310034138,0.6567960165118679,0.2988930629433371,0.6236297256813116,0.3807114963880289,0.30588724675014145,0.006994183806804349,,,,,
tail_macro_avg,,,,323,0.11204188481675392,0.9938080495356038,0.2013801756587202,0.39869281045751637,0.18885448916408668,0.2563025210084034,0.05492234534968318,,,,,
weighted_avg,,,,200323,0.4564967280709745,0.4891050952711371,0.3474136625043899,0.7355541522262526,0.4761759757990845,0.3305596843022909,-0.01685397820209894,,,,,
