expert,epoch,loss,ce_loss,energy_margin_loss,val_macro_f1,val_accuracy
flood,1,0.13017234492111207,0.09463397950172424,0.35538364658665655,0.9202702304627,0.92067
flood,2,0.09510844594955445,0.09168999101734161,0.03418454857218266,0.9206374483042205,0.92103
flood,3,0.09133515718364715,0.09001205275440216,0.013231044797420502,0.9200154337125577,0.92042
flood,4,0.08961377765083313,0.08886211412620544,0.007516634932100773,0.9217651448578994,0.92214
flood,5,0.0881745639204979,0.08765392046546935,0.005206433833569288,0.9210743685756041,0.92146
flood,6,0.08661075487279891,0.0862192046675682,0.003915499448120594,0.9219784316354498,0.92235
flood,7,0.08548363909626007,0.08516531637525558,0.00318323021864146,0.9220393671605163,0.92241
flood,8,0.08438300547885895,0.08411168565130234,0.002713198786623776,0.9195295349320658,0.91994
flood,9,0.0835877227191925,0.08335894853830338,0.00228773964407295,0.9220799899676083,0.92245
flood,10,0.08234137055158615,0.08213681585645675,0.0020455460903607307,0.9186223768577745,0.91905
flood,11,0.08135687894439697,0.08116309895086289,0.0019378027709648013,0.9240087735486171,0.92435
flood,12,0.08012300769281387,0.07995485915470123,0.0016814831063076854,0.9198021847987352,0.92021
flood,13,0.07935870040416718,0.07920262366485596,0.00156076422027871,0.9228618429393332,0.92322
flood,14,0.07823558743000031,0.07807916789960861,0.0015641943202726542,0.9236231412093281,0.92397
flood,15,0.07720757990789413,0.07706630557346345,0.0014127458918243648,0.9237855202383376,0.92413
theft,1,0.20509406924247742,0.1887264847755432,0.16367577016353607,0.5,1.0
theft,2,0.19180582463741302,0.17734985053539276,0.14455971121788025,0.5,1.0
theft,3,0.18209831416606903,0.1695389747619629,0.12559333443641663,0.5,1.0
theft,4,0.164567768573761,0.15429627895355225,0.10271486639976501,0.5,1.0
theft,5,0.15368682146072388,0.1442752182483673,0.09411609172821045,0.5,1.0
theft,6,0.14462068676948547,0.1367889791727066,0.07831714302301407,0.5,1.0
theft,7,0.1344253420829773,0.12788736820220947,0.06537969410419464,0.5,1.0
theft,8,0.12688390910625458,0.12120247632265091,0.056814372539520264,0.5,1.0
theft,9,0.11910196393728256,0.11427383869886398,0.04828125983476639,0.5,1.0
theft,10,0.10903944075107574,0.10491638630628586,0.04123055934906006,0.5,1.0
theft,11,0.10357552021741867,0.10002167522907257,0.0355384387075901,0.5,1.0
theft,12,0.09878788143396378,0.09539615362882614,0.03391727805137634,0.5,1.0
theft,13,0.09353568404912949,0.09054449200630188,0.029911916702985764,0.5,1.0
theft,14,0.08888626843690872,0.08609572798013687,0.027905434370040894,0.5,1.0
theft,15,0.08459823578596115,0.0821395218372345,0.024587107822299004,0.5,1.0
benign,1,0.03042047804780012,0.023133182793724776,0.07287295664223918,0.5,1.0
benign,2,0.024192621722018214,0.020703712388291728,0.03488909425912283,0.5,1.0
benign,3,0.020743878748764346,0.018524565244825566,0.022193136055294653,0.5,1.0
benign,4,0.018516714364451226,0.01669601230120671,0.018207020350298597,0.5,1.0
benign,5,0.01673057644113526,0.015151984714841284,0.015785914591265434,0.5,1.0
benign,6,0.015543737495507646,0.014131567746302186,0.014121695779947336,0.5,1.0
benign,7,0.014369211579820993,0.013142974003706362,0.01226237691827571,0.5,1.0
benign,8,0.013568982502647231,0.012485999715095382,0.010829827536882887,0.5,1.0
benign,9,0.012963226199186153,0.01194035191389513,0.010228741968612086,0.5,1.0
benign,10,0.012181767117533876,0.011266503288062384,0.0091526367989499,0.5,1.0
benign,11,0.011642626693297723,0.010810909340779067,0.008317174042529948,0.5,1.0
benign,12,0.011050978202045678,0.01032611437190144,0.007248638475492506,0.5,1.0
benign,13,0.01055933967580476,0.009892181741571202,0.006671579742192524,0.5,1.0
benign,14,0.010086383756108144,0.009473520692381637,0.006128629799991358,0.5,1.0
benign,15,0.00975439174559536,0.009155925210495224,0.005984666907838414,0.5,1.0
