role,branch,count,share_of_role,accuracy
known,all_out,8982,0.04483758729651613,0.0
known,argmin,4,1.996775208039017e-05,0.0
known,owner_only,191337,0.9551424449514034,0.4985392266001871
known,ALL,200323,1.0,0.4761759757990845
unseen,all_out,63931,0.63931,1.0
unseen,argmin,2364,0.02364,0.0
unseen,owner_only,33705,0.33705,0.0
unseen,ALL,100000,1.0,0.63931
benign,all_out,3178,0.3056063082988749,0.0
benign,argmin,981,0.09433599384556207,1.0
benign,owner_only,6240,0.6000576978555631,0.8895833333333333
benign,ALL,10399,1.0,0.62813732089624
