split,arm,stage,rows,bank_correctable,helpful,harmful,changed,correctable_recovery,diagnostic_only,uses_all_expert_post_information
cal_select,legacy,top1_no_gates,123551,9535,6870,442,8654,0.7205034084950184,True,False
cal_select,legacy,post_gt0_no_pre_gate,123551,9535,6546,52,7596,0.6865233350812795,True,False
cal_select,legacy,original_final_policy,123551,9535,5751,0,5845,0.6031463030938647,False,False
cal_confirm,legacy,top1_no_gates,51593,3715,2413,196,3414,0.6495289367429341,True,False
cal_confirm,legacy,post_gt0_no_pre_gate,51593,3715,2200,19,2476,0.5921938088829072,True,False
cal_confirm,legacy,original_final_policy,51593,3715,1828,0,1863,0.4920592193808883,False,False
full_test,legacy,top1_no_gates,2271723,71755,59461,114393,190427,0.828666991847258,True,False
full_test,legacy,post_gt0_no_pre_gate,2271723,71755,40295,15250,61595,0.5615636541007595,True,False
full_test,legacy,original_final_policy,2271723,71755,23332,389,24104,0.3251620096160546,False,False
