class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.9999713636834233,0.9892409887836219,0.9987217762250378,0.9992805866189111,0.999346179331782,0.9942354438664445,-0.005110735465337579
dos-hulk,46025,0.9978739098364212,0.9999316332809188,0.999369907658881,0.9533514394350896,0.9986213484731705,0.9760861344070474,-0.022535214066123133
portscan,31786,0.9935899440292674,0.9952465834818776,0.9996853960863273,0.9485307997231486,0.9966283500870357,0.9713273195876289,-0.025301030499406796
ddos,25606,0.999336507688705,1.0,0.9999609466531282,0.9975005858002031,0.999648629655657,0.9987487291780714,-0.0008999004775855912
dos-goldeneye,2059,0.9804482594182165,0.9994802494802495,0.9985429820301117,0.9339485186983972,0.9894128970163619,0.9656038162189304,-0.023809080797431492
ftp-patator,1588,0.9993702770780857,1.0,0.9993702770780857,0.9867758186397985,0.9993702770780857,0.9933438985736925,-0.006026378504393137
ssh-patator,1179,0.9991525423728813,1.0,1.0,0.9787955894826124,0.9995760915642221,0.9892841834547793,-0.010291908109442804
dos-slowloris,1159,0.9813084112149533,1.0,0.996548748921484,0.5220017256255393,0.9888698630136986,0.6859410430839002,-0.30292881992979837
dos-slowhttptest,1100,0.983754512635379,0.9899117276166457,0.990909090909091,0.7136363636363636,0.9873188405797102,0.8293713681986266,-0.15794747238108364
bot,393,0.6582064297800339,0.6765249537892791,0.989821882951654,0.9312977099236641,0.790650406504065,0.7837259100642399,-0.0069244964398251785
web-attack-�-brute-force,302,0.7598566308243727,0.7821011673151751,0.7019867549668874,0.6655629139072847,0.729776247848537,0.7191413237924866,-0.010634924056050377
web-attack-�-xss,130,0.384180790960452,0.40963855421686746,0.5230769230769231,0.5230769230769231,0.44299674267100975,0.4594594594594595,0.01646271678844974
infiltration,7,0.875,1.0,1.0,0.42857142857142855,0.9333333333333333,0.6,-0.33333333333333337
web-attack-�-sql-injection,4,0.25,0.0,0.25,0.0,0.25,0.0,-0.25
heartbleed,2,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
macro avg,565877,0.8574699719681461,0.7894717238643091,0.8965329791038407,0.7054886935426242,0.8737032804771113,0.7310845753256872,-0.14261870515142416
weighted avg,565877,0.9987555980715226,0.990576657557252,0.9985897995500789,0.9904131109764136,0.9986450883045355,0.9901765466903558,-0.008468541614179648
