role,branch,count,share_of_role,accuracy
known,all_out,1910,0.007949191762806106,0.0
known,argmin,114524,0.4766352028500558,0.8144668366455939
known,owner_only,123842,0.5154156053871382,0.9941376915747485
known,ALL,240276,1.0,0.9005976460403868
unseen,all_out,26582,0.26582,1.0
unseen,argmin,62293,0.62293,0.0
unseen,owner_only,11125,0.11125,0.0
unseen,ALL,100000,1.0,0.26582
benign,all_out,2369,0.02369,0.0
benign,argmin,73714,0.73714,0.0002034891608107008
benign,owner_only,23917,0.23917,0.9476941087929088
benign,ALL,100000,1.0,0.22681
