expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15564,12761,15564,0,0,0,0,0,15564,0
2,21186,12761,21186,0,0,0,0,21186,0,0
3,1936235,12761,186000,118782,9932,39579,14903,242,2562,0
4,140,12761,140,0,0,0,0,0,0,140
