a,b,agreement
global,e1,0.4822
global,e2,0.5702
global,e3,0.8928
global,e4,0.5236
e1,e2,0.8022
e1,e3,0.4854
e1,e4,0.9165
e2,e3,0.6757
e2,e4,0.8342
e3,e4,0.5263
