K,beta,tune_expert_balanced_nll
2,0.0,2.479645
2,0.5,3.818157
2,1.0,7.561729
4,0.0,1.593287
4,0.5,3.108781
4,1.0,6.68118
8,0.0,1.969984
8,0.5,3.35097
8,1.0,7.091264
