class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3493830,0,50,9046,0
bot,41542,41415,0,0,127,0
brute_force,115040,77344,0,0,37696,0
ddos,264872,217924,6582,6,40360,14
dos,60594,19309,6428,0,34857,4352
infiltration,37631,11926,34,0,25671,0
web_attacks,509,228,6,0,275,0
