class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,130913,113503,-17410,3493880,3493830
bot,5,5,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,11,12,1,217930,224506
dos,0,2,2,19309,25737
infiltration,6965,8183,1218,11926,11960
web_attacks,2078,5273,3195,228,234
