expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,normgain,0.6678,5651,61497,0.7957,0.5225
2,202122,normgain,0.6914,46273,16108,0.5818,-0.2566
3,202122,normgain,0.6511,2046,68473,0.7898,-0.0085
4,202122,normgain,0.8848,256,23037,0.8651,0.3296
