method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.6738,0.6375,0.028,0.002597
global_tabpfn,4023114,0.6533,0.634,0.0276,0.002582
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
