family,Credential,DoS,Friday_OOD,Rare,Web
Credential,0.0,6.64507,1.4007009,177.17456,0.29049227
DoS,6.64507,0.0,6.201929,177.86171,6.81038
Friday_OOD,1.4007009,6.201929,0.0,178.49623,1.6879728
Rare,177.17456,177.86171,178.49623,0.0,176.92004
Web,0.29049227,6.81038,1.6879728,176.92004,0.0
