class,bot,ddos,dos-goldeneye,dos-hulk,dos-slowhttptest,dos-slowloris,ftp-patator,heartbleed,infiltration,portscan,ssh-patator,web-attack-brute-force,web-attack-sql-injection,web-attack-xss
bot,0.0,2.647609,4.0543556,6.588522,6.6761107,8.081237,0.17784645,966.8392,56.567066,1.7057813,3.0466356,1.8210639,0.69253874,1.1186682
ddos,2.647609,0.0,1.8030459,4.355708,5.06407,6.681567,2.771955,965.4924,54.710205,4.337536,2.856818,2.5264692,1.9635626,2.592295
dos-goldeneye,4.0543556,1.8030459,0.0,2.5883079,3.3423674,4.992958,4.2133512,966.0861,54.932068,5.5986605,4.60899,4.317791,3.455205,4.2940583
dos-hulk,6.588522,4.355708,2.5883079,0.0,1.9790317,3.386518,6.754489,966.28937,54.683823,8.035882,7.033541,6.8821673,6.0223455,6.8823657
dos-slowhttptest,6.6761107,5.06407,3.3423674,1.9790317,0.0,1.6601435,6.8534937,968.26776,56.647526,7.825708,7.9175363,7.461286,6.2587733,7.2643657
dos-slowloris,8.081237,6.681567,4.992958,3.386518,1.6601435,0.0,8.258889,969.5087,57.725685,9.06167,9.538371,9.018153,7.7305126,8.765362
ftp-patator,0.17784645,2.771955,4.2133512,6.754489,6.8534937,8.258889,0.0,966.7891,56.562687,1.615873,3.0002606,1.7596126,0.8083931,1.0357003
heartbleed,966.8392,965.4924,966.0861,966.28937,968.26776,969.5087,966.7891,0.0,912.27765,967.9516,963.7926,965.02985,966.4094,965.76154
infiltration,56.567066,54.710205,54.932068,54.683823,56.647526,57.725685,56.562687,912.27765,0.0,57.9812,53.633472,54.87512,56.013897,55.605247
portscan,1.7057813,4.337536,5.5986605,8.035882,7.825708,9.06167,1.615873,967.9516,57.9812,0.0,4.348799,3.1167505,2.3979247,2.4041936
ssh-patator,3.0466356,2.856818,4.60899,7.033541,7.9175363,9.538371,3.0002606,963.7926,53.633472,4.348799,0.0,1.2511646,2.676623,1.9887071
web-attack-brute-force,1.8210639,2.5264692,4.317791,6.8821673,7.461286,9.018153,1.7596126,965.02985,54.87512,3.1167505,1.2511646,0.0,1.5698593,0.73765415
web-attack-sql-injection,0.69253874,1.9635626,3.455205,6.0223455,6.2587733,7.7305126,0.8083931,966.4094,56.013897,2.3979247,2.676623,1.5698593,0.0,1.063224
web-attack-xss,1.1186682,2.592295,4.2940583,6.8823657,7.2643657,8.765362,1.0357003,965.76154,55.605247,2.4041936,1.9887071,0.73765415,1.063224,0.0
