arm,target,key,variant,class,ctx_rows,ctx_frac,support,f1,precision,recall,global_f1,delta_f1,macro_f1
natural,,natural,raw,backdoor,516,0.0258,40030,0.9987760709379293,0.9986513486513486,0.9989008243817137,0.9987389659520807,3.7104985848634975e-05,0.6708532669682087
natural,,natural,raw,benign,8640,0.432,1474302,0.9257544505338905,0.9916433633893309,0.868075875906022,0.9119074559634021,0.013846994570488436,0.6708532669682087
natural,,natural,raw,ddos,2629,0.13145,103338,0.975832555169027,0.9757995065073298,0.9758656060694033,0.9687004211144844,0.007132134054542605,0.6708532669682087
natural,,natural,raw,dos,293,0.01465,22458,0.9798758865248227,0.9754655370223281,0.9843262979784486,0.9831090114983511,-0.003233124973528345,0.6708532669682087
natural,,natural,raw,injection,863,0.04315,68891,0.8944752720612003,0.8342817662207148,0.9640301345603925,0.9315305555360145,-0.03705528347481424,0.6708532669682087
natural,,natural,raw,mitm,14,0.0007,1161,0.049024319907718925,0.02545926517571885,0.6589147286821705,0.06737937379056562,-0.018355053882846695,0.6708532669682087
natural,,natural,raw,password,2730,0.1365,210951,0.8909421817496117,0.8054806380924652,0.9966911747277803,0.8909104384376754,3.1743311936338614e-05,0.6708532669682087
natural,,natural,raw,ransomware,9,0.00045,709,0.11722951172295117,0.06345325416230062,0.768688293370945,0.1396551724137931,-0.02242566069084194,0.6708532669682087
natural,,natural,raw,scanning,77,0.00385,6029,0.0059533653051099715,1.0,0.0029855697462265714,0.13841678150359824,-0.13246341619848825,0.6708532669682087
natural,,natural,raw,xss,4229,0.21145,343854,0.8706690557698252,0.778823626596787,0.9870730019136029,0.8069904524044945,0.06367860336533071,0.6708532669682087
natural,,natural,prior_b0.5,backdoor,516,0.0258,40030,0.9987760709379293,0.9986513486513486,0.9989008243817137,0.9987389659520807,3.7104985848634975e-05,0.6712401351977431
natural,,natural,prior_b0.5,benign,8640,0.432,1474302,0.9264714120951428,0.9916522559954195,0.869330707005756,0.9119074559634021,0.014563956131740774,0.6712401351977431
natural,,natural,prior_b0.5,ddos,2629,0.13145,103338,0.975832555169027,0.9757995065073298,0.9758656060694033,0.9687004211144844,0.007132134054542605,0.6712401351977431
natural,,natural,prior_b0.5,dos,293,0.01465,22458,0.9798749944589742,0.9755075022065314,0.9842817704158874,0.9831090114983511,-0.0032340170393768686,0.6712401351977431
natural,,natural,prior_b0.5,injection,863,0.04315,68891,0.8944993669692644,0.834323689400887,0.9640301345603925,0.9315305555360145,-0.03703118856675014,0.6712401351977431
natural,,natural,prior_b0.5,mitm,14,0.0007,1161,0.051963087819661524,0.027050982060554493,0.657192075796727,0.06737937379056562,-0.015416285970904095,0.6712401351977431
natural,,natural,prior_b0.5,password,2730,0.1365,210951,0.8909332056459301,0.805462868963932,0.9966959151651331,0.8909104384376754,2.27672082547814e-05,0.6712401351977431
natural,,natural,prior_b0.5,ransomware,9,0.00045,709,0.11743158801982331,0.06357167852560364,0.768688293370945,0.1396551724137931,-0.022223584393969792,0.6712401351977431
natural,,natural,prior_b0.5,scanning,77,0.00385,6029,0.0059533653051099715,1.0,0.0029855697462265714,0.13841678150359824,-0.13246341619848825,0.6712401351977431
natural,,natural,prior_b0.5,xss,4229,0.21145,343854,0.8706657055565674,0.7788182652592932,0.9870730019136029,0.8069904524044945,0.0636752531520729,0.6712401351977431
natural,,natural,prior_b1.0,backdoor,516,0.0258,40030,0.9987760709379293,0.9986513486513486,0.9989008243817137,0.9987389659520807,3.7104985848634975e-05,0.6714970170911858
natural,,natural,prior_b1.0,benign,8640,0.432,1474302,0.9270134537312592,0.9916574693241577,0.87028166549323,0.9119074559634021,0.015105997767857149,0.6714970170911858
natural,,natural,prior_b1.0,ddos,2629,0.13145,103338,0.9758278337945849,0.9757900644437133,0.9758656060694033,0.9687004211144844,0.007127412680100531,0.6714970170911858
natural,,natural,prior_b1.0,dos,293,0.01465,22458,0.979895821788762,0.9755925321092819,0.9842372428533263,0.9831090114983511,-0.0032131897095890594,0.6714970170911858
natural,,natural,prior_b1.0,injection,863,0.04315,68891,0.8945220424821195,0.8343740184684968,0.9640156188761957,0.9315305555360145,-0.037008513053894965,0.6714970170911858
natural,,natural,prior_b1.0,mitm,14,0.0007,1161,0.05431675242995998,0.028333892554896916,0.6546080964685616,0.06737937379056562,-0.013062621360605639,0.6714970170911858
natural,,natural,prior_b1.0,password,2730,0.1365,210951,0.8909294304092477,0.8054566977095201,0.9966959151651331,0.8909104384376754,1.8991971572290822e-05,0.6714970170911858
natural,,natural,prior_b1.0,ransomware,9,0.00045,709,0.11707527810778702,0.06339181286549708,0.764456981664316,0.1396551724137931,-0.022579894306006085,0.6714970170911858
natural,,natural,prior_b1.0,scanning,77,0.00385,6029,0.0059533653051099715,1.0,0.0029855697462265714,0.13841678150359824,-0.13246341619848825,0.6714970170911858
natural,,natural,prior_b1.0,xss,4229,0.21145,343854,0.870660121925098,0.7788093298608323,0.9870730019136029,0.8069904524044945,0.06366966952060349,0.6714970170911858
sqrt_natural,,sqrt_natural,raw,backdoor,1312,0.0656,40030,0.9975690332232127,0.995645141221849,0.9995003747189608,0.9987389659520807,-0.0011699327288680061,0.73017380116986
sqrt_natural,,sqrt_natural,raw,benign,5369,0.26845,1474302,0.9169592204204781,0.9978844752724606,0.8481749329513221,0.9119074559634021,0.005051764457076002,0.73017380116986
sqrt_natural,,sqrt_natural,raw,ddos,2961,0.14805,103338,0.9802885494566839,0.9750239326057821,0.9856103272755424,0.9687004211144844,0.011588128342199466,0.73017380116986
sqrt_natural,,sqrt_natural,raw,dos,988,0.0494,22458,0.9566548779435866,0.9275319896295058,0.9876658651705406,0.9831090114983511,-0.026454133554764447,0.73017380116986
sqrt_natural,,sqrt_natural,raw,injection,1697,0.08485,68891,0.9136601682602966,0.854729815156649,0.9813183144387511,0.9315305555360145,-0.01787038727571788,0.73017380116986
sqrt_natural,,sqrt_natural,raw,mitm,217,0.01085,1161,0.05544305183077007,0.028631186229897403,0.8725236864771748,0.06737937379056562,-0.011936321959795548,0.73017380116986
sqrt_natural,,sqrt_natural,raw,password,3018,0.1509,210951,0.8914596700760222,0.8056024403032773,0.9978004370683239,0.8909104384376754,0.0005492316383468587,0.73017380116986
sqrt_natural,,sqrt_natural,raw,ransomware,175,0.00875,709,0.1257813251274161,0.06749226006191951,0.922425952045134,0.1396551724137931,-0.013873847286377,0.73017380116986
sqrt_natural,,sqrt_natural,raw,scanning,506,0.0253,6029,0.6134851397308887,0.553421368547419,0.6881738265052247,0.13841678150359824,0.47506835822729043,0.73017380116986
sqrt_natural,,sqrt_natural,raw,xss,3757,0.18785,343854,0.8504369756292449,0.7450853850091663,0.990487241678154,0.8069904524044945,0.0434465232247504,0.73017380116986
sqrt_natural,,sqrt_natural,prior_b0.5,backdoor,1312,0.0656,40030,0.9983282181800035,0.997158807696142,0.9995003747189608,0.9987389659520807,-0.00041074777207716906,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,benign,5369,0.26845,1474302,0.9315375326243621,0.9947333391877464,0.8758917779396623,0.9119074559634021,0.01963007666096006,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,ddos,2961,0.14805,103338,0.9837593912772137,0.9761258300227691,0.9915132864967389,0.9687004211144844,0.01505897016272928,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,dos,988,0.0494,22458,0.97294329512013,0.9599150632691974,0.9863300382937038,0.9831090114983511,-0.010165716378221057,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,injection,1697,0.08485,68891,0.9310528758563839,0.8904937322767869,0.9754830093916477,0.9315305555360145,-0.0004776796796306382,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,mitm,217,0.01085,1161,0.3206459054209919,0.20638455827765403,0.7183462532299741,0.06737937379056562,0.2532665316304263,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,password,3018,0.1509,210951,0.8918286289254885,0.8061495687872429,0.9978857649406734,0.8909104384376754,0.0009181904878131641,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,ransomware,175,0.00875,709,0.13544546034446098,0.07324364723467862,0.8984485190409027,0.1396551724137931,-0.004209712069332128,0.7163009449805927
